"collection_id","name","acquisition_date","short_description","description","source","authoritative","public","known_issues","md_filename","wms_link","popup_link","carto_map_id","overview_image","thumbnail_image","natural_image","urban_image","tile_index_url","supplemental_report_url","lidar_breaklines_url","coverage_extent","tags","created","last_modified","agency_type_id","license_type_id","template_type_id"
"eb61aa80-149f-4381-a9b9-4089a65408d7","National Agriculture Imagery Program (NAIP) 2010 1m NC\CIR Orthoimagery","2014-02-01","<p>The National Agriculture Imagery Program (NAIP) acquires aerial imagery during the agricultural growing seasons in the continental United States.</p>","The National Agriculture Imagery Program (NAIP) acquires aerial imagery during the agricultural growing seasons in the continental United States. It is administered by the USDA's Farm Service Agency (FSA) through the Aerial Photography Field Office (APFO) in Salt Lake City. The primary goal of the NAIP program is to make digital ortho photography available to governmental agencies and the public within a year of acquisition.This ""leaf-on"" imagery is used as a base layer for GIS programs in FSA's County Service Centers, and is used to maintain the Common Land Unit (CLU) boundaries. Projects are contracted each year based upon available funding and the FSA imagery acquisition cycle. Beginning in 2003, NAIP was acquired on a 5-year cycle. 2008 was a transition year, and a three-year cycle began in 2009.Since the NAIP program began in 2003, vendors have been transitioning to digital sensors in imagery acquisition. NAIP imagery products are available either as digital ortho quarter quad tiles (DOQQs) or as compressed county mosaics (CCM). The area for DOQQs corresponds to the USGS topographic quadrangles. Each image tile covers a 3.75 x 3.75 minute quarter quadrangle plus a 300 meter buffer on all four sides. CCMs are generated by compressing DOQQ image tiles into a single mosaic. All individual tile images and the resulting mosaic are rectified in the UTM coordinate system, NAD 83, and cast into a single predetermined UTM zone.","USDA",t,t,"Only color balanced with 3 of 4 bands","data-catalog/entry/national-agriculture-imagery-program-naip-2010-1m-nc-cir.md","https://webservices.tnris.org/arcgis/services/NAIP/NAIP10_NC_CIR_1m/ImageServer/WMSServer","https://webservices.tnris.org/arcgis/rest/services/NAIP/NAIP10_NC_CIR_1m/ImageServer?f=jsapi","d5084e86-dec9-11e4-afda-0e0c41326911","images/data-catalog/entry/national_agriculture_imagery_program_naip_2010_1m_nc_cir_overview.jpg","images/data-catalog/entry/national_agriculture_imagery_program_naip_2010_1m_nc_cir_th.jpg","images/data-catalog/entry/national_agriculture_imagery_program_naip_2010_1m_nc_cir_natural.jpg","images/data-catalog/entry/national_agriculture_imagery_program_naip_2010_1m_nc_cir_urban.jpg","https://tnris-datadownload.s3.amazonaws.com/datacatalog/tile_index/national_agriculture_imagery_program_naip_2010_1m_nc_cir_tileindex.zip","","","Texas","Texas, Statewide, National Agricultural Imagery Program, NAIP, United States Department of Agriculture, USDA, Natural Resources Conservation Service, NRCS, Natural Color, NC, Infrared, CIR, Mosaic, Orthoimagery, Aerial, Historical","2018-07-30 11:42:39.923+00","2018-08-07 20:51:01.357923+00","77e1eb26-96d8-4415-bf70-a29d7f679ca9","593a35c8-9527-4e32-a3bf-c59c56173dd9","40d5e189-a34c-40f3-aa24-632bf1fab596"
"c7aa3dae-3934-4d36-91a3-9f53526c9438","Bexar Metro 911 2009 6in NC Orthoimagery","2014-02-01","<p>Natural Color Aerial Photography of Bexar County from 2009.</p>","Bexar Metro 911 contracted with Petroleum Place Energy Solutions, L.P. (P2ES) to acquire new color aerial photography and ground control and provide photogrammetric services to produce 6 inch ground resolution color orthophotography covering Bexar, Guadalupe, and Comal Counties, Texas for 2009. Intended to provide an image base for 911 vector data.","Bexar County Metro 911",t,t,"None","data-catalog/entry/bexar-metro-911-2009-6in-nc.md","","","17dade6c-ded0-11e4-9ab9-0e0c41326911","images/data-catalog/entry/bexar_metro_911_2009_6in_nc_overview.jpg","images/data-catalog/entry/bexar_metro_911_2009_6in_nc_th.jpg","images/data-catalog/entry/bexar_metro_911_2009_6in_nc_natural.jpg","images/data-catalog/entry/bexar_metro_911_2009_6in_nc_urban.jpg","https://tnris-datadownload.s3.amazonaws.com/datacatalog/tile_index/bexar_metro_911_2009_6in_nc_tileindex.zip","","","Bexar, Comal, Guadalupe","Bexar, Comal, Guadalupe, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, San Antonio, Historical","2018-07-30 11:42:39.934+00","2018-08-08 15:34:37.692934+00","","593a35c8-9527-4e32-a3bf-c59c56173dd9","40d5e189-a34c-40f3-aa24-632bf1fab596"
"6bb27abd-b30c-4bd0-b429-a570fd999e15","StratMap 2010 50cm Cooke, Grayson, Montague & Wise Lidar","2014-02-01","<p>Lidar data for Cooke, Grayson, Montague & Wise Counties</p>","This project contains 50cm LAS tiles and 1m DEM tiles for areas in Cooke, Montague, Wise, and Grayson County Texas. The project AOI was defined by new quarter-quarter-quadrangle, NQQQ, tiles. The outside tiles were buffered by 300m on all sides and the interior tiles were buffered by 50m on all sides. The project design of the Lidar data acquisition was developed to support a nominal post spacing of 4pts /meter.Data was acquired by Surdex Inc. and The Atlantic Group under sub-contract to Surdex from May 20 through August 4th , 2010. Lidar data collection was performed with a Cessna 375 aircraft, utilizing a Leica ALS50-II MPiA sensor and a Cessna 210 aircraft, utilizing a Optech Sensor collecting multiple return x, y, and z data as well as intensity data. Lidar data was processed to achieve a bare ground surface.This dataset was acquired through the High Priority Imagery and Data Sets (HPIDS) contract. The contract was created in 2009 to maximize spending power by coordinating geospatial data purchases to share costs and to ensure that acquired data meet high standards of quality. The successor to HPIDS is the StratMap contract, established in 2015.Lidar data for Texas is made available online through the use of data compression using [LASTools](https://rapidlasso.com/lastools/). LASTools is an open-source collection of tools for lidar data viewing and manipulation. TNRIS uses the LASzip portion of LASTools for compression\decompression. LASTools provides a lossless compression of the data from las to laz formats.- Software with native LAZ support- ERDAS IMAGINE (14.1 and up) by Hexagon Geospatial- Global Mapper (13.1 and up) by Blue Marble Geo- ENVI LiDAR (5.1 and up) by Exelis VIS- FME (2012 and up) by Safe Software- LAStools by rapidlasso- plas.io 3D Web Viewer by Hobu Inc.- FUSION (3.40 and up) by Bob McGaughey of the USDA- Voyager (1.3 and up) by Voyager GIS- GRASS GIS (7.0 and up) by Open Source Geospatial Foundation (OSGeo)","TNRIS",t,t,"None","data-catalog/entry/stratmap-2010-50cm-cooke-grayson-montague-wise.md","","","03d6a6a4-e2bc-11e4-9813-0e853d047bba","images/data-catalog/entry/stratmap_2010_50cm_cooke_grayson_montague_wise_overview.jpg","images/data-catalog/entry/stratmap_2010_50cm_cooke_grayson_montague_wise_th.jpg","","","https://tnris-datadownload.s3.amazonaws.com/d/tnris-lidar/state/tx/tnris-lidar_tx.zip","https://tnris-datadownload.s3.amazonaws.com/datacatalog/supplemental_reports/stratmap_2010_50cm_cooke_grayson_montague_wise_supplementalreports.zip","https://tnris-datadownload.s3.amazonaws.com/datacatalog/lidar_breaklines/stratmap_2010_50cm_cooke_grayson_montague_wise_breaklines.zip","Wise, Montague, Cooke, Grayson","Wise, Montague, Cooke, Grayson, Lidar, Point Cloud, LAS, Elevation, County, Historical","2018-07-30 11:42:39.939+00","2018-08-09 17:11:40.355582+00","","593a35c8-9527-4e32-a3bf-c59c56173dd9","40d5e189-a34c-40f3-aa24-632bf1fab596"
"5751f066-28be-46af-b795-08387a27da6e","Lidar Availability Index","2014-02-01","<p>Tile index of Lidar data available to order from TNRIS.</p>","Tile index of Lidar data available to order from TNRIS.","TNRIS",t,t,"Number of Polygons","data-catalog/entry/lidar-availability-index.md","","https://tnris-twdb.carto.com/u/tnris-sm/builder/a5dfc759-9a90-4acd-a8d1-57d521c7e1fe/embed","tnris-sm.a5dfc759-9a90-4acd-a8d1-57d521c7e1fe","images/data-catalog/entry/lidar_availability_index_overview.jpg","images/data-catalog/entry/lidar_availability_index_th.jpg","","","","","","Texas","Texas, Index, Indices, Lidar, Point Cloud, Status, Elevation","2018-07-30 11:42:39.933+00","2018-07-30 11:42:39.933+00","","593a35c8-9527-4e32-a3bf-c59c56173dd9","40d5e189-a34c-40f3-aa24-632bf1fab596"
"69c829e2-94e2-4190-99a0-b895cd2726e8","GLO Oil & Gas Leases","2015-11-20","<p>Oil and Gas Leases managed by the Texas GLO - General Land Office.</p>","Oil and Gas Leases managed by the Texas GLO - General Land Office.","GLO",t,t,"None","data-catalog/entry/glo-oil-gas-leases.md","","http://gisweb.glo.texas.gov/glomap/index.html","d5084e86-dec9-11e4-afda-0e0c41326911","images/data-catalog/entry/glo_oil_gas_leases_overview.jpg","images/data-catalog/entry/glo_oil_gas_leases_th.jpg","","","","","","Texas","Texas, GLO, TxGLO, Land, Oil, Gas, Access, Tracts","2018-07-30 11:42:39.941+00","2018-07-30 11:42:39.941+00","855f3cdc-e25d-4470-8e0d-8be483414792","","40d5e189-a34c-40f3-aa24-632bf1fab596"
"8abbe0ce-e1d1-4a90-9989-295637374d02","Adjacent States","2014-02-01","<p>State boundaries for Texas adjacent states for base map use.</p>","State boundaries for U.S. states adjacent to Texas for base map use. Includes New Mexico, Oklahoma, Arkansas, Louisiana.","TxDOT",t,t,"Age, accuracy","data-catalog/entry/adjacent-states.md","","","394a41dc-df84-11e4-a6cf-0e4fddd5de28","images/data-catalog/entry/adjacent_states_overview.jpg","images/data-catalog/entry/adjacent_states_th.jpg","","","","","","U.S. States bordering Texas","Boundary, State, New Mexico, Oklahoma, Arkansas, Louisiana","2018-07-30 11:42:39.95+00","2018-07-30 11:42:39.95+00","","593a35c8-9527-4e32-a3bf-c59c56173dd9","40d5e189-a34c-40f3-aa24-632bf1fab596"
"99a7ed26-3b91-4550-8262-d4196fcae9bd","TxDOT Reference Markers","2014-02-01","<p>Geographic representation of highway markers for Texas.</p>","Geographic representation of highway markers for Texas. Dataset is exported from TxDOT's TRM system and placed on road network via linear referencing.","TxDOT",t,t,"Age","data-catalog/entry/txdot-reference-markers.md","","","d5084e86-dec9-11e4-afda-0e0c41326911","images/data-catalog/entry/txdot_reference_markers_overview.jpg","images/data-catalog/entry/txdot_reference_markers_th.jpg","","","","","","Texas","Texas Department of Transportation, TxDOT, Road, Statewide, Reference Markers, Roadways","2018-07-30 11:42:39.95+00","2018-07-30 11:42:39.95+00","d5c20a43-5b51-4c4a-8b48-629a2b87c3ee","","40d5e189-a34c-40f3-aa24-632bf1fab596"
"b6749a2d-9d94-4b37-af5b-9746c165fe46","Census 2000","2014-02-01","<p>Census Block, Block Groups and Tracts for the census 2000.</p>","Census Block, Block Groups and Tracts for the census 2000.","USCB",t,t,"Is not joined to have all Census information","data-catalog/entry/census-2000.md","","","d5084e86-dec9-11e4-afda-0e0c41326911","","images/data-catalog/entry/census_2000_th.jpg","","","","","","Texas","Population, Statistics, Census, Block, Tract, Group, Demographic, Age, Race, Ethnicity","2018-07-30 11:42:39.921+00","2018-07-30 11:42:39.921+00","","593a35c8-9527-4e32-a3bf-c59c56173dd9","40d5e189-a34c-40f3-aa24-632bf1fab596"
"02322201-e2e3-4e4a-b4d3-8121ade4c987","GLO Environmental Sensitivity Index Shoreline","2015-11-20","<p>Shoreline of Texas with Environmental Sensitivity Index classification (sensitivity of shoreline habitats to oil contamination and removal).</p>","Shoreline of Texas with Environmental Sensitivity Index classification (sensitivity of shoreline habitats to oil contamination and removal). Classification conducted by the University of Texas Bureau of Economic Geology.","GLO",t,t,"None","data-catalog/entry/glo-environmental-sensitivity-index-shoreline.md","","http://gisweb.glo.texas.gov/glomap/index.html","68ef2a5a-decc-11e4-8cd4-0e018d66dc29","images/data-catalog/entry/glo_environmental_sensitivity_index_shoreline_overview.jpg","images/data-catalog/entry/glo_environmental_sensitivity_index_shoreline_th.jpg","","","","","","Texas","Texas, GLO, TxGLO, Land, Oil, Gas, Access, Tracts","2018-07-30 11:42:39.95+00","2018-07-30 11:42:39.95+00","855f3cdc-e25d-4470-8e0d-8be483414792","","40d5e189-a34c-40f3-aa24-632bf1fab596"
"025591d6-dabf-4242-ab6f-b4ec63f49992","LRGV 2011 6in NC Orthoimagery","2014-02-01","<p>The 6-inch orthoimagery were acquired between December 2010 and April 2011 during leaf-off conditions.</p>","The 6-inch orthoimagery were acquired between December 2010 and April 2011 during leaf-off conditions. The dataset covers portions of the Texas/Mexico border on the US side. Area covered is approximately 6,581 square miles. High resolution 6-inch 3-band (RGB) natural color orthoimagery for portions of the Lower Rio Grande Valley.","TNRIS, BPUB, Alton, Edinburg, McAllen, Pharr, Port Isabel, San Benito, HCAD, LMWD",t,t,"None","data-catalog/entry/lrgv-2011-6in-nc.md","","","c757d424-deeb-11e4-a51e-0e9d821ea90d","images/data-catalog/entry/lrgv_2011_6in_nc_overview.jpg","images/data-catalog/entry/lrgv_2011_6in_nc_th.jpg","images/data-catalog/entry/lrgv_2011_6in_nc_natural.jpg","images/data-catalog/entry/lrgv_2011_6in_nc_urban.jpg","https://tnris-datadownload.s3.amazonaws.com/datacatalog/tile_index/lrgv_2011_6in_nc_tileindex.zip","","","Hidalgo and Cameron Counties and City of McAllen. Area covered is approximately 939 square miles.","McAllen, Hidalgo, Cameron, Aerial Imagery, Natural Color, NC, Orthoimagery, Historical","2018-07-30 11:42:39.922+00","2018-07-30 11:42:39.922+00","","593a35c8-9527-4e32-a3bf-c59c56173dd9","40d5e189-a34c-40f3-aa24-632bf1fab596"
