"category_type_id","category","created","last_modified"
"379edcc0-5867-41bd-b383-075baa830d59","Boundary","2018-07-24 16:35:26.015+00","2018-07-24 16:35:26.015+00"
"4c0b549c-9409-4093-80a9-ae166a899645","Reference Grid","2018-07-24 16:37:26.993+00","2018-07-24 16:37:26.993+00"
"5d1b4f08-a934-46bf-9d6c-05ef9dba4f68","Demographics","2018-07-24 16:35:41.764+00","2018-07-24 16:35:41.764+00"
"5dbbdf04-8f63-4cec-b1f5-00bf00ac9f19","Transportation","2018-07-24 16:37:45.74+00","2018-07-24 16:37:45.74+00"
"6695100b-dfe0-4e0d-9f63-f4bff3c6fd93","Hydrography","2018-07-24 16:36:41.538+00","2018-07-24 16:36:41.538+00"
"7b5b09a2-4de1-4774-8f9d-382fcd9eae82","Geology","2018-07-24 16:36:12.445+00","2018-07-24 16:36:12.445+00"
"965d75a1-a4f1-40e4-ab93-725a5700d7c5","Land Use - Land Cover","2018-07-24 16:36:50.362+00","2018-07-24 16:36:50.362+00"
"9aa3b308-c419-4597-b455-a08c929d3225","Floodplain","2018-07-24 16:36:04.558+00","2018-07-24 16:36:04.558+00"
"9ad48d76-6d9a-4df0-8455-313e7eee1385","Topographic Map","2018-07-24 16:37:35.872+00","2018-07-24 16:37:35.872+00"
"a12c269c-da39-4fb7-ac0e-cb8c21f345b7","Bathymetry","2018-07-24 16:35:18.122+00","2018-07-24 16:35:18.122+00"
"a5ba4241-894d-4e77-9fcc-9c3d89a93892","Cultural","2018-07-24 16:35:34.264+00","2018-07-24 16:35:34.264+00"
"a77f0e4b-1703-4c7c-a8ea-b0ab73f6b0cf","Orthoimagery","2018-07-24 16:37:16.433+00","2018-07-24 16:37:16.433+00"
"ac9bdad4-39ec-48e8-9de4-35b96dbccf08","Lidar","2018-07-24 16:36:58.997+00","2018-07-24 16:36:58.997+00"
"b4b0411f-5dcb-47ba-b16a-ac90a44b5f36","Historic Imagery","2018-07-24 16:36:24.032+00","2018-07-24 16:36:24.032+00"
"e059472d-4e36-4013-95f3-dd10b8a92d42","Weather","2018-07-24 16:37:55.08+00","2018-07-24 16:37:55.08+00"
"e10bd935-4122-4a9b-89c2-333a0039759e","Environmental","2018-07-24 16:35:56.334+00","2018-07-24 16:35:56.335+00"
"e3f23c9f-b2ef-4956-aba7-b1af77a7dd39","Natural Regions","2018-07-24 16:37:07.832+00","2018-07-24 16:37:07.832+00"
"e5b98127-64f0-4e21-8a19-2d279dfc134a","Elevation","2018-07-24 16:35:48.896+00","2018-07-24 16:35:48.896+00"
