"source_type_id","source_name","source_abbreviation","source_website","source_contact","created","last_modified"
"023aa646-a084-40cd-bdac-cee9903b1a20","National Geospatial Intelligence Agency","NGA","","","2018-07-25 15:01:32.966+00","2018-07-25 15:01:32.966+00"
"09bec38b-f69a-4aa6-bdd7-1cb5d36e1fa7","Texas Municipal Power Agency","TMPA","","","2018-07-25 15:27:47.19+00","2018-07-25 15:27:47.19+00"
"13c9b09d-799b-49ab-851f-af6da5b52bea","City of College Station","College Station","","","2018-07-25 14:46:59.869+00","2018-07-25 14:46:59.869+00"
"15820775-cbdb-40cf-ae9e-86024ce5bba4","United States Board on Geographic Names","BGN","","","2018-07-25 15:16:16.907+00","2018-07-25 15:19:03.021+00"
"232534a6-e7a3-469a-8213-d9c07d5e8d86","Satellite Pour l’Observation de la Terre","SPOT","","","2018-07-25 15:08:17.043+00","2018-07-25 15:08:17.043+00"
"26a5ae1c-42b4-4e97-8226-613856d5c3ab","Capital Area Council of Governments","CAPCOG","","","2018-07-25 14:45:41.563+00","2018-07-25 14:45:41.563+00"
"26ef38cb-6caa-4a47-96c0-d96723c77ffd","Brazos 9-1-1","Brazos 911","","","2018-07-25 14:43:29.866+00","2018-07-25 14:43:29.866+00"
"28787134-2cb0-45f2-bc07-1d99e1bf53da","Brownsville Public Utilities Board","BPUB","","","2018-07-25 14:44:37.299+00","2018-07-25 14:44:37.299+00"
"2a71c93c-cd32-4a3b-ac5b-0fa0cd3507e6","United States Census Bureau","USCB","","","2018-07-25 15:19:27.896+00","2018-07-25 15:19:27.896+00"
"2ce83c28-bb06-4670-a29d-d93e343286a6","National Transportation Atlas Database","NTAD","","","2018-07-25 15:02:21.889+00","2018-07-25 15:02:21.889+00"
"2ebfd5dc-152b-4332-82ac-a6570a0f1a4c","United States Geological Survey","USGS","","","2018-07-25 15:23:57.796+00","2018-07-25 15:23:57.796+00"
"339b715b-38ef-4315-a0b3-414f1401727b","City of Palestine","Palestine","","","2018-07-25 14:49:07.934+00","2018-07-25 14:49:07.934+00"
"397ec492-326b-4d7a-bbc3-26247024a523","City of Georgetown","Georgetown","","","2018-07-25 14:47:57.783+00","2018-07-25 14:47:57.783+00"
"50ac5b0d-8082-4c2d-9e48-2ed0d9e21255","City of El Paso","El Paso","","","2018-07-25 14:47:42.264+00","2018-07-25 14:47:42.264+00"
"520d75b3-a503-48df-ae8d-da9775fb84bf","Texas Natural Resources Information System","TNRIS","","","2018-07-25 15:14:41.381+00","2018-07-25 15:14:41.381+00"
"53f2eeb2-5c77-4722-b6d6-d5c835579287","Laguna Madre Water District","LMWD","","","2018-07-25 14:58:10.089+00","2018-07-25 14:58:10.089+00"
"5770ff51-af90-49a0-a5bb-f21c2e11a6b1","Texas A&M Forest Service","TFS","","","2018-07-25 15:18:29.61+00","2018-07-25 15:18:29.61+00"
"5b84701f-4768-4c71-9688-fef3b85047df","Houston - Galveston Area Council","H-GAC","","","2018-07-25 14:53:59.895+00","2018-07-25 14:53:59.895+00"
"5fcd2757-ec27-4c74-b512-1b8a6e43dfd9","Environmental Protection Agency","EPA","","","2018-07-25 14:52:19.32+00","2018-07-25 14:52:19.32+00"
"610411bd-385c-4a00-99a1-80f571868b50","Brazos Central Appraisal District","BCAD","https://www.brazoscad.org/","","2018-07-25 12:53:12.411+00","2018-07-25 14:39:30.341+00"
"61ec4579-8462-4260-9176-c627383bded8","Natural Resources Conservation Service","NRCS","","","2018-07-25 15:03:07.27+00","2018-07-25 15:03:07.27+00"
"68e6407d-3839-4a77-8428-6913888c168a","United States Fish and Wildlife Service","USFWS","","","2018-07-25 15:21:17.926+00","2018-07-25 15:22:04.689+00"
"6a03304e-ee3a-4955-8e19-52270894b13c","City of Houston","Houston","","","2018-07-25 14:48:24.845+00","2018-07-25 14:48:24.845+00"
"6c2927a3-f52d-4948-b450-5bf075fc78d0","Smith County 9-1-1","Smith 911","","","2018-07-25 15:08:57.133+00","2018-07-25 15:08:57.133+00"
"70817c70-7364-45a8-971a-00908a95a111","Texas Parks and Wildlife Department","TPWD","","","2018-07-25 15:14:53.424+00","2018-07-25 15:14:53.424+00"
"77e1eb26-96d8-4415-bf70-a29d7f679ca9","United States Department of Agriculture","USDA","","","2018-07-25 15:19:42.738+00","2018-07-25 15:19:42.738+00"
"7bacb0b7-332d-4580-95d1-72707101b437","Taylor County","Taylor","","","2018-07-25 15:10:10.595+00","2018-07-25 15:10:10.595+00"
"7c38c717-f63a-470d-ae32-fc2ff02f1f28","Bexar County","Bexar","https://www.bexar.org/","","2018-07-25 12:56:03.333+00","2018-07-25 14:39:45.057+00"
"80540bd3-5303-4fda-a437-d10a19178551","City of Edinburg","Edinburg","","","2018-07-25 14:47:15.014+00","2018-07-25 14:47:15.014+00"
"817c68e0-97fe-49d5-be47-4611ac4737cc","Bureau of Economic Geology","BEG","","","2018-07-25 14:44:57.504+00","2018-07-25 14:45:26.809+00"
"855f3cdc-e25d-4470-8e0d-8be483414792","Texas General Land Office","GLO","","","2018-07-25 15:14:22.134+00","2018-07-25 15:14:22.135+00"
"87cb93e0-ed61-4ba3-a392-93b203e4d6a8","Lower Colorado River Authority","LCRA","","","2018-07-25 14:59:04.699+00","2018-07-25 14:59:04.699+00"
"8a695f4e-46f4-430b-862d-2b352520a11d","Hidalgo County Regional Mobility Authority","HCRMA","","","2018-07-25 14:56:23.434+00","2018-07-25 14:56:23.434+00"
"8ab1b8ba-ab53-40e9-86ec-fb804de6d938","Lower Rio Grande Valley Development Council","LRGVDC","","","2018-07-25 14:59:38.559+00","2018-07-25 14:59:38.559+00"
"8cf5c57e-082a-4601-bdf3-ab415e27b5b0","International Boundary and Water Commission","IBWC","","","2018-07-25 14:57:00.327+00","2018-07-25 14:57:00.327+00"
"8d69ab58-cf89-4995-9607-5b23e5178589","Smith County Appraisal District","Smith CAD","","","2018-07-25 15:09:57.5+00","2018-07-25 15:09:57.5+00"
"91e42b44-11d9-49f1-868c-e00ff90e8717","City of Port Isabel","Port Isabel","","","2018-07-25 14:50:08.687+00","2018-07-25 14:50:08.687+00"
"98f0b00f-9bd7-4c03-bdb9-60eb51584710","City of Alton","Alton","","","2018-07-25 14:46:13.26+00","2018-07-25 14:46:13.26+00"
"9a1708d9-e040-42ba-b540-089451860944","Harris County Appraisal District","HCAD","","","2018-07-25 14:54:15.434+00","2018-07-25 14:54:15.434+00"
"9e899633-08a3-4b7e-b064-21c6b9f27fc3","City of Lubbock","Lubbock","","","2018-07-25 14:48:40.472+00","2018-07-25 14:48:40.472+00"
"a05d62d6-6ea1-4d14-aa66-a135147d672c","City of San Benito","San Benito","","","2018-07-25 14:51:02.885+00","2018-07-25 14:51:02.885+00"
"a21bc745-61a5-4e5d-bfe1-6297aa369ee9","City of Grand Prairie","Grand Prairie","","","2018-07-25 14:48:13.653+00","2018-07-25 14:48:13.653+00"
"a4f68dcf-a7e7-411a-a3cf-7cf13cbc4938","City of Bryan","Bryan","","","2018-07-25 14:46:42.717+00","2018-07-25 14:46:42.717+00"
"a59aa983-de71-40b6-8c09-789508d46ada","Texas A&M University","TAMU","","","2018-07-25 15:11:20.348+00","2018-07-25 15:11:20.348+00"
"a5ca4a67-07a3-4216-a5c6-5a6357318517","Smith County","Smith","","","2018-07-25 15:08:35.791+00","2018-07-25 15:08:35.791+00"
"a91ede8b-e37e-43ad-9457-c4f1230c5b9a","Texas Commission on Environmental Quality","TCEQ","","","2018-07-25 15:11:36.388+00","2018-07-25 15:11:36.388+00"
"a98b70a1-204b-46a3-9a13-65884c86e5a4","North Central Texas Council of Governments","NCTCOG","","","2018-07-25 15:03:28.977+00","2018-07-25 15:03:28.977+00"
"aac4cd15-90bc-4e7d-a988-015448c26406","City of Pharr","Pharr","","","2018-07-25 14:49:55.279+00","2018-07-25 14:49:55.279+00"
"add2d681-99a7-49dc-a6f3-e77ff64f7afc","Lynn County","Lynn","","","2018-07-25 15:01:09.524+00","2018-07-25 15:01:09.524+00"
"c1e7ed1a-8bfa-44eb-980d-788bf66bed41","Texas Water Development Board","TWDB","","","2018-07-25 15:15:07.02+00","2018-07-25 15:15:07.02+00"
"c3ebcc54-4ff6-4bde-b77c-3507f881a430","United States Forest Service","USFS","","","2018-07-25 15:21:46.949+00","2018-07-25 15:21:46.949+00"
"c458a5fb-08a1-438e-af45-056a456fd9a9","Harris County Flood Control District","HCFCD","","","2018-07-25 14:54:36.209+00","2018-07-25 14:54:36.209+00"
"c4acca28-4ce7-46e6-b5a4-d3a6f5c0b687","City of Weslaco","Weslaco","","","2018-07-25 14:52:07.548+00","2018-07-25 14:52:07.548+00"
