"training_id","training_day","title","start_date_time","end_date_time","instructor","cost","registration_open","location","room","max_students","instructor_bio","description","teaser","created","last_modified","public"
"f0682ee2-e4c8-4071-ae45-c040ec8e4b88",1,"Insights for ArcGIS Local (Desktop)","2019-10-21 13:00:00+00","2019-10-21 17:00:00+00","Brig Bowles","100.00",True,"J.J. Pickle Research Center","Balcones",36,"#### Brig Bowles
<p><img class=""img-circle pull-left keynote-portrait"" src=""https://tnris-org-static.s3.amazonaws.com/images/brig_headshot.jpg"" alt=""headshot of instructor Brig Bowles"">Joseph Brigham Bowles is a Solutions Engineer and works out of the Esri San Antonio office. He has been with Esri for twenty plus years focusing mainly on the technical side of the sales process. His experience is in helping companies and individuals get their data into a spatial format to better find answers to questions. His areas of expertise include web mapping, server based GIS, developer technologies, and making spatial technology available to everyone.  </p>","Part of the Esri Geospatial Cloud, Insights for ArcGIS is analysis software that fuses location analytics with open data science and business intelligence workflows. Answer questions you didn’t know to ask, analyze data completely, and unlock new insights. A hands-on workshop to explore data and perform advanced analytics such as spatial, statistical, predictive, and link analysis within an intuitive experience that works the way you do. Revolutionize decision-making with analysis that visually informs the organization of new, previously unexplored insights gained from the perspective of “where”.","Come learn how to create interactive reports that use text, links, images, and branding to clearly communicate your research results and show how you reached them.","2019-07-17 16:42:48.858262+00","2019-07-17 16:42:48.8583+00",True
"66ade171-3252-42ba-a0de-07a853df7b59",1,"Earth Observation with Satellite Remote Sensing and ArcGIS Pro","2019-10-21 13:00:00+00","2019-10-21 17:00:00+00","Teresa Howard","100.00",True,"TCEQ","Rm 234-235",15,"#### Teresa Howard
<p><img class=""img-circle pull-left keynote-portrait"" src=""https://tnris-org-static.s3.amazonaws.com/images/howard_headshot.jpg"" alt=""headshot of instructor Teresa Howard""> Teresa Howard is a Research Associate at the University of Texas at Austin Center for Space Research. For nearly two decades, she conducted applied research that incorporates geospatial techniques (GIS, satellite and airborne remote sensing, GPS, and digital cartography) for emergency response, land and water resources monitoring, and land cover change detection. Currently, her focus is the introduction of remote sensing technologies to high school and university students through internships and guided research. Ms. Howard formerly served as adjunct professor in the department of Geographic Information Systems at Austin Community College, where she taught classes on Esri's ModelBuilder and Python scripting for GIS. Ms. Howard holds a Master of Applied Geography degree from Texas State University-San Marcos.</p>","Have you ever wanted to time travel? Learn how to generate your own time series using freely available satellite images from nearly anywhere on the planet. Students will learn about satellite image resources at USGS, NASA and the European Space Agency. Through hands on exercises, they will learn how to import, manipulate and analyze multispectral optical satellite data such as Landsat, Sentinel 2, MODIS, AWiFS, and other related data. Among the techniques covered are color balancing, vegetation, water and burn indices, and basic image classification. Students will take away sample datasets, step-by-step exercises and ready-to-use ModelBuilder and Python 3 script tools. This class includes hands-on practice in ArcGIS Pro.

Prerequisites: basic experience in GIS software. Previous experience in ArcGIS Pro is not required.","Have you ever wanted to time travel?","2019-07-17 16:45:53.301418+00","2019-07-17 16:45:53.301455+00",True
"3d32f840-8684-4989-97f4-91b677fd7ada",1,"(Almost) Everything About Census Data and Geography","2019-10-21 13:00:00+00","2019-10-21 17:00:00+00","James Castagneri & Lacey Loftin","50.00",True,"J.J. Pickle Research Center","Stadium",35,"#### Jim Castagneri
<img class=""img-circle pull-left keynote-portrait"" src=""https://tnris-org-static.s3.amazonaws.com/images/james_headshot.jpg"" alt=""headshot of instructor James Castagneri"">Jim Castagneri is a Geographer with the U.S. Census Bureau who manages geographic programs for Texas and the Rocky Mountain west. Early in his career, Jim was involved in the creation of the TIGER system. More recently, Jim has played a pivotal role in bringing GIS analysis to survey management and Census field operations. He specializes in Census statistical geography and the spatial analysis of demographic data.</p>
 <hr class=""clearfix"">

<h4>Lacey Loftin</h4>
<p><img class=""img-circle pull-left keynote-portrait"" src=""https://tnris-org-static.s3.amazonaws.com/images/lacey_headshot.jpg"" alt=""headshot of instructor Lacey Loftin""> Lacey Loftin is a statistician with the United States Census Bureau. In the 14 years that she has been with the agency, she has served as an Analyst for the Economic Census, supervised data collection operations, acted as a congressional liaison during the 2010 Census, and worked to create the Statistics in Schools program. Lacey's time is now focused on outreach to organizations and governments in Texas, sharing data, tools and useful applications.</p>","This workshop will cover everything you need to know to about Census data and geography. The U.S. Census Bureau is the official steward of political and statistical geographies for the U.S. Government and we will cover in detail the ways we update, maintain and use these geographies for data collection and publication. We will also cover the data that is available from the surveys and census we conduct, how to access and use that data, and interesting applications for spatial analysis.","","2019-07-17 16:50:11.907064+00","2019-07-17 16:50:11.907102+00",True
"954961f9-e1bd-41a3-8705-cd59b24fa203",1,"The Power of a Story: Presenting Your Work Using Esri Story Maps","2019-10-21 18:00:00+00","2019-10-21 22:00:00+00","Kathleen Clancy","100.00",True,"J.J. Pickle Research Center","Balcones",36,"#### Kathleen Clancy
<img class=""img-circle pull-left keynote-portrait"" src=""https://tnris-org-static.s3.amazonaws.com/images/clancy_headshot.jpg"" alt=""headshot of instructor Kathleen Clancy""> Kathleen Clancy is a Solution Engineer in the San Antonio Regional Office. While new to Esri, Kathleen has been working with Esri’s technology for over a decade. Kathleen’s previous experience includes serving as a GIS and Natural Resource Management Volunteer with the Peace Corps in Mexico’s National Park Service and working as a GIS Specialist and Research Associate for Disney’s Animals, Science, and Environment Team. Kathleen enjoys helping users find new and creative ways to meet their needs through the use of technology.</p>","Stories communicate, engage, and excite while sharing information with your audience. Esri Story Maps can help you tell your story and enhance your GIS data. Esri Story Maps let you combine authoritative maps with narrative text, images, and multimedia content. They make it easy to harness the power of maps and geography to tell your story. In this hands-on workshop come learn how to author an effective story map and how to use story maps in your organization.","Would you like to learn how to tell your story, present your data, and engage your audience?","2019-07-17 16:52:48.045394+00","2019-07-17 16:52:48.045434+00",True
"6a474252-d950-4fd7-a0a1-5d00c6cc0deb",2,"Real-Time GIS","2019-10-22 18:00:00+00","2019-10-22 22:00:00+00","Zena Pelletier","100.00",True,"J.J. Pickle Research Center","Balcones",36,"#### Zena Pelletier
<p><img class=""img-circle pull-left keynote-portrait"" src=""https://tnris-org-static.s3.amazonaws.com/images/zena_headshot.jpg"" alt=""headshot of instructor Zena Pelletier""> 
Zena Pelletier is a Solution Engineer on the State & Local Government team out of the San Antonio Regional Office. She has been with Esri 3 ½ years and she works with local governments in the region to make full use of Esri software and technology. She enjoys helping users deploy solutions to meet their business needs and objectives.</p>","Know the real-time location of your most valued assets, your mobile workers. Find out about the newest addition to Esri's suite of field applications called Tracker for ArcGIS. Tracker is designed to work with other parts of the platform, so you can apply the right mix of capabilities to support your needs. In this hands-on workshop you'll learn about how the ArcGIS Field Apps can help your organization improve coordination and operational efficiency in field work activities.","Would you like to have a technology solution that supports greater efficiency and productivity of your field resources?","2019-07-17 18:49:35.111573+00","2019-07-17 18:49:35.111611+00",True
"a40c46b9-0f37-47c2-b6f7-41f817a5c8f5",1,"The National Map (TNM) and National Hydrography Dataset (NHD)","2019-10-21 18:00:00+00","2019-10-21 22:00:00+00","Claire DeVaughan","100.00",True,"J.J. Pickle Research Center","Longhorn",15,"#### Claire DeVaughan
<p><img class=""img-circle pull-left keynote-portrait"" src=""https://tnris-org-static.s3.amazonaws.com/images/devaughan_headshot.jpg"" alt=""headshot of instructor Claire DeVaughan""> 
Claire DeVaughan is the National Map Liaison for Texas, Oklahoma, and Utah. She collaborates with partners and users of The National Map to improve the timeliness, quality and accessibility of geospatial data for the user community. She has been involved in geospatial activities in Texas since 2003, Oklahoma since 2015, and Utah since February 2019. She has been with USGS since 1989, in various roles as a geographer and cartographer.</p>","As one of the cornerstones of the U.S. Geological Survey's National Geospatial Program, The National Map is a collaborative effort among the USGS and other Federal, State, and local partners to improve and deliver topographic information for the Nation. It has many uses ranging from recreation to scientific analysis to emergency response. The geographic information available from The National Map includes elevation data, hydrography, land cover, geographic names, aerial photography, boundaries, transportation, and structures. This workshop will provide introductory information to The National Map and the variety of products and services it provides. Students will work with a variety of web-based applications to become familiar with the eight layers of The National Map, and learn about products, services, and data access. The latter part of the session will provide more specific information on features of the National Hydrography Dataset (NHD), the hydrography layer of The National Map, which serves as an authoritative geospatial dataset that maps and models the surface water of the United States.","Want access to free foundational geospatial data that represents the topography, natural landscape, and manmade environment of the US? The National Map provides this and more that you can use for decision making and operational activities","2019-07-17 16:56:47.969065+00","2019-07-17 16:56:47.969103+00",True
"8a969395-167c-4c06-a8b6-4b95c2768c1b",1,"Using R to Visualize US Census Data","2019-10-21 18:00:00+00","2019-10-21 22:00:00+00","Eric Pimpler","100.00",True,"TCEQ","Rm 234-235",15,"#### Eric Pimpler
<p><img class=""img-circle pull-left keynote-portrait"" src=""https://tnris-org-static.s3.amazonaws.com/images/eric_headshot.jpg"" alt=""headshot of instructor Eric Pimpler"">Eric is the founder and owner of GeoSpatial Training Services (geospatialtraining.com) and has over 25 years experience as an application developer, data scientist, and trainer using ArcGIS Desktop, ArcGIS Enterprise, ArcGIS Online, and ArcGIS Pro. Eric is currently focused on data science applications with Python, R, and GIS.</p>

Eric is the author of 
- Data Visualization and Exploration with R
- Programming ArcGIS with Python Cookbook 
- Building Web and Mobile ArcGIS Server Applications with JavaScript 
- Spatial Analytics with ArcGIS 
- ArcGIS Blueprints 
- Programming ArcGIS Pro with Python

Eric has a Bachelor’s degree in Geography from Texas A&M University and a Master's of Applied Geography degree with a concentration in GIS from Texas State University.","In this class you will learn how to use R with the tidycensus and tidyverse packages to explore and visualize US Census data. tidycensus is an R package that allows users to interface with the US Census Bureau’s decennial Census and five-year American Community APIs and return tidyverse-ready data frames, optionally with simple feature geometry included that allows you to create thematic maps.
Prerequisites: Some basic R experience would be very helpful since we won't have time to cover the basics of the language itself. We'll focus specifically on using existing R skills to visualize US Census Data.","If your work involves the use of data from the US Census Bureau and would like to use R to explore, manipulate, and visualize these datasets, the tidycensus and tidyverse packages are great tools for accomplishing these tasks.","2019-07-17 16:59:10.938108+00","2019-07-17 16:59:10.938181+00",True
"6e6659a3-1102-45fe-a35d-2a1a1d4761f7",2,"Using ArcGIS and Open Source","2019-10-22 13:00:00+00","2019-10-22 17:00:00+00","Brig Bowles","100.00",True,"J.J. Pickle Research Center","Balcones",36,"#### Brig Bowles
<p><img class=""img-circle pull-left keynote-portrait"" src=""https://tnris-org-static.s3.amazonaws.com/images/brig_headshot.jpg"" alt=""headshot of instructor Brig Bowles"">Joseph Brigham Bowles is a Solutions Engineer and works out of the Esri San Antonio office. He has been with Esri for twenty plus years focusing mainly on the technical side of the sales process. His experience is in helping companies and individuals get their data into a spatial format to better find answers to questions. His areas of expertise include web mapping, server based GIS, developer technologies, and making spatial technology available to everyone.  </p>","This is a hands-on workshop to get experience using juniper notebooks for simple data workflows to setting-up an enterprise system for your organization.  A hands-on approach to working with a combination of opensource software and the Esri platform to get your job.","Would you like to learn how to customize and share your projects with open-source software?","2019-07-17 18:43:26.19346+00","2019-07-17 18:43:26.193493+00",True
"d547529d-9bf9-465b-abe8-af823a3bee78",2,"GISP Update","2019-10-22 13:00:00+00","2019-10-22 17:00:00+00","Bill Hodge & Brian King","100.00",True,"J.J. Pickle Research Center","Mustang",25,"#### Bill Hodges
<p><img class=""img-circle pull-left keynote-portrait"" src=""https://tnris-org-static.s3.amazonaws.com/images/hodges_headshot.jpg"" alt=""headshot of instructor Bill Hodges""> Bill is the Executive Director of GISCI and their geospatial Paladin since 2013, responsible for all things GISP. A GISP since 2010, he came into the GIS profession in the early 2000s with a Penn State MGIS Certiticate, and extensive Govt. GIS experience from the Federal to the Municipal level.</p>
<hr class=""clearfix"">

<h4>Brian King</h4>
<p><img class=""img-circle pull-left keynote-portrait"" src=""https://tnris-org-static.s3.amazonaws.com/images/king_headshot.jpg"" alt=""headshot of instructor Brian King""> Brian King, GIS Mapping Specialist and Archeologist with Freese and Nichols’ (FNI) Austin, TX office. His responsiblities include drafting and design tasks in the areas of floodplain modeling and mapping, hydrology and hydraulics, Drone / UAS Mapping, water resources studies, ArcGIS web mapping, ArcGIS Data Collection apps, photogrammetry, remote sensing, and Lidar processing. With 19 years working in the engineering, environmental, and archeology fields, he has a passion for the industry, specifically geospatial solutions. He is an assistant instructor at the Pennsylvania State University John A. Dutton e-Education Institute, College of Earth and Mineral Sciences. Through his involvement with URISA Texas for many years, he has received recognition as a leader in the field of GIS and has served in numerous State and National elected and appointed positions.</p>","This workshop session will explore the GISP Professional Certification in depth. The participany will come away with an understanding of what it is, how it might or might not help them in their career. point them in the direction of filling out the Portfolio and exploring the content of the exam and how to prepare for it.","Is the GISP right for you?'","2019-07-17 18:45:03.525153+00","2019-07-17 18:45:03.525191+00",True
"4d0f0573-c696-49c7-bbd0-c3719114f007",2,"Earth Observation with Satellite Remote Sensing and QGIS","2019-10-22 13:00:00+00","2019-10-22 17:00:00+00","Teresa Howard","100.00",True,"TCEQ","Rm 234-235",15,"#### Teresa Howard
<p><img class=""img-circle pull-left keynote-portrait"" src=""https://tnris-org-static.s3.amazonaws.com/images/howard_headshot.jpg"" alt=""headshot of instructor Teresa Howard"">
Teresa Howard is a Research Associate at the University of Texas at Austin Center for Space Research. For nearly two decades, she conducted applied research that incorporates geospatial techniques (GIS, satellite and airborne remote sensing, GPS, and digital cartography) for emergency response, land and water resources monitoring, and land cover change detection. Currently, her focus is the introduction of remote sensing technologies to high school and university students through internships and guided research. Ms. Howard formerly served as adjunct professor in the department of Geographic Information Systems at Austin Community College, where she taught classes on Esri's ModelBuilder and Python scripting for GIS. Ms. Howard holds a Master of Applied Geography degree from Texas State University-San Marcos.","Are you curious about the open source geospatial world? Do you want to watch how the Earth’s surfaces changes over time and space? Come test drive QGIS and learn how to put freely available satellite images to work for you. Students will learn about satellite image resources at USGS, NASA and the European Space Agency. Students will learn about freely available satellite image resources at USGS, NASA and the European Space Agency. Through hands on exercises, they will learn how to import, manipulate and analyze multispectral optical satellite data such as Landsat, Sentinel 2, MODIS, AWiFS, and other related data. Among the techniques covered are color balancing, vegetation, water and burn indices, and basic image classification. Students will take away sample datasets, step-by-step exercises and ready-to-use Python script tools. 

This class includes an introduction to and hands-on practice in the open source QGIS software.

Prerequisites: basic experience in GIS software. Previous experience in QGIS is not required. The Windows installation will be covered.","Are you curious about the open source geospatial world? Do you want to watch how the Earth’s surfaces changes over time and space? Come test drive QGIS and learn how to put freely available satellite images to work for you.","2019-07-17 18:47:35.050942+00","2019-07-17 18:47:35.05098+00",True
