"CNTY_NM","CNTY_NBR","FIPS"
"Anderson",1,48001
"Andrews",2,48003
"Angelina",3,48005
"Aransas",4,48007
"Archer",5,48009
"Armstrong",6,48011
"Atascosa",7,48013
"Austin",8,48015
"Bailey",9,48017
"Bandera",10,48019
"Bastrop",11,48021
"Baylor",12,48023
"Bee",13,48025
"Bell",14,48027
"Bexar",15,48029
"Blanco",16,48031
"Borden",17,48033
"Bosque",18,48035
"Bowie",19,48037
"Brazoria",20,48039
"Brazos",21,48041
"Brewster",22,48043
"Briscoe",23,48045
"Brooks",24,48047
"Brown",25,48049
"Burleson",26,48051
"Burnet",27,48053
"Caldwell",28,48055
"Calhoun",29,48057
"Callahan",30,48059
"Cameron",31,48061
"Camp",32,48063
"Carson",33,48065
"Cass",34,48067
"Castro",35,48069
"Chambers",36,48071
"Cherokee",37,48073
"Childress",38,48075
"Clay",39,48077
"Cochran",40,48079
"Coke",41,48081
"Coleman",42,48083
"Collin",43,48085
"Collingsworth",44,48087
"Colorado",45,48089
"Comal",46,48091
"Comanche",47,48093
"Concho",48,48095
"Cooke",49,48097
"Coryell",50,48099
"Cottle",51,48101
"Crane",52,48103
"Crockett",53,48105
"Crosby",54,48107
"Culberson",55,48109
"Dallam",56,48111
"Dallas",57,48113
"Dawson",58,48115
"Deaf Smith",59,48117
"Delta",60,48119
"Denton",61,48121
"DeWitt",62,48123
"Dickens",63,48125
"Dimmit",64,48127
"Donley",65,48129
"Duval",67,48131
"Eastland",68,48133
"Ector",69,48135
"Edwards",70,48137
"El Paso",72,48141
"Ellis",71,48139
"Erath",73,48143
"Falls",74,48145
"Fannin",75,48147
"Fayette",76,48149
"Fisher",77,48151
"Floyd",78,48153
"Foard",79,48155
"Fort Bend",80,48157
"Franklin",81,48159
"Freestone",82,48161
"Frio",83,48163
"Gaines",84,48165
"Galveston",85,48167
"Garza",86,48169
"Gillespie",87,48171
"Glasscock",88,48173
"Goliad",89,48175
"Gonzales",90,48177
"Gray",91,48179
"Grayson",92,48181
"Gregg",93,48183
"Grimes",94,48185
"Guadalupe",95,48187
"Hale",96,48189
"Hall",97,48191
"Hamilton",98,48193
"Hansford",99,48195
"Hardeman",100,48197
"Hardin",101,48199
"Harris",102,48201
"Harrison",103,48203
"Hartley",104,48205
"Haskell",105,48207
"Hays",106,48209
"Hemphill",107,48211
"Henderson",108,48213
"Hidalgo",109,48215
"Hill",110,48217
"Hockley",111,48219
"Hood",112,48221
"Hopkins",113,48223
"Houston",114,48225
"Howard",115,48227
"Hudspeth",116,48229
"Hunt",117,48231
"Hutchinson",118,48233
"Irion",119,48235
"Jack",120,48237
"Jackson",121,48239
"Jasper",122,48241
"Jeff Davis",123,48243
"Jefferson",124,48245
"Jim Hogg",125,48247
"Jim Wells",126,48249
"Johnson",127,48251
"Jones",128,48253
"Karnes",129,48255
"Kaufman",130,48257
"Kendall",131,48259
"Kenedy",66,48261
"Kent",132,48263
"Kerr",133,48265
"Kimble",134,48267
"King",135,48269
"Kinney",136,48271
"Kleberg",137,48273
"Knox",138,48275
"La Salle",142,48283
"Lamar",139,48277
"Lamb",140,48279
"Lampasas",141,48281
"Lavaca",143,48285
"Lee",144,48287
"Leon",145,48289
"Liberty",146,48291
"Limestone",147,48293
"Lipscomb",148,48295
"Live Oak",149,48297
"Llano",150,48299
"Loving",151,48301
"Lubbock",152,48303
"Lynn",153,48305
"Madison",154,48313
"Marion",155,48315
"Martin",156,48317
"Mason",157,48319
"Matagorda",158,48321
"Maverick",159,48323
"McCulloch",160,48307
"McLennan",161,48309
"McMullen",162,48311
"Medina",163,48325
"Menard",164,48327
"Midland",165,48329
"Milam",166,48331
"Mills",167,48333
"Mitchell",168,48335
"Montague",169,48337
"Montgomery",170,48339
"Moore",171,48341
"Morris",172,48343
"Motley",173,48345
"Nacogdoches",174,48347
"Navarro",175,48349
"Newton",176,48351
"Nolan",177,48353
"Nueces",178,48355
"Ochiltree",179,48357
"Oldham",180,48359
"Orange",181,48361
"Palo Pinto",182,48363
"Panola",183,48365
"Parker",184,48367
"Parmer",185,48369
"Pecos",186,48371
"Polk",187,48373
"Potter",188,48375
"Presidio",189,48377
"Rains",190,48379
"Randall",191,48381
"Reagan",192,48383
"Real",193,48385
"Red River",194,48387
"Reeves",195,48389
"Refugio",196,48391
"Roberts",197,48393
"Robertson",198,48395
"Rockwall",199,48397
"Runnels",200,48399
"Rusk",201,48401
"Sabine",202,48403
"San Augustine",203,48405
"San Jacinto",204,48407
"San Patricio",205,48409
"San Saba",206,48411
"Schleicher",207,48413
"Scurry",208,48415
"Shackelford",209,48417
"Shelby",210,48419
"Sherman",211,48421
"Smith",212,48423
"Somervell",213,48425
"Starr",214,48427
"Stephens",215,48429
"Sterling",216,48431
"Stonewall",217,48433
"Sutton",218,48435
"Swisher",219,48437
"Tarrant",220,48439
"Taylor",221,48441
"Terrell",222,48443
"Terry",223,48445
"Throckmorton",224,48447
"Titus",225,48449
"Tom Green",226,48451
"Travis",227,48453
"Trinity",228,48455
"Tyler",229,48457
"Upshur",230,48459
"Upton",231,48461
"Uvalde",232,48463
"Val Verde",233,48465
"Van Zandt",234,48467
"Victoria",235,48469
"Walker",236,48471
"Waller",237,48473
"Ward",238,48475
"Washington",239,48477
"Webb",240,48479
"Wharton",241,48481
"Wheeler",242,48483
"Wichita",243,48485
"Wilbarger",244,48487
"Willacy",245,48489
"Williamson",246,48491
"Wilson",247,48493
"Winkler",248,48495
"Wise",249,48497
"Wood",250,48499
"Yoakum",251,48501
"Young",252,48503
"Zapata",253,48505
"Zavala",254,48507
