USGS_Num,Direction,Name,TNRIS_Num
36103,W,DALHART,3603
36102,E,DALHART,3602
35103,W,TUCUMCARI,3503
35102,E,TUCUMCARI,3502
34103,W,CLOVIS,3403
34102,E,CLOVIS,3402
33103,W,BROWNFIELD,3303
33102,E,BROWNFIELD,3302
33095,W,TEXARKANA,3395
33094,E,TEXARKANA,3394
32106,E,LAS CRUCES,3206
32105,W,CARLSBAD,3205
32104,E,CARLSBAD,3204
32103,W,HOBBS,3203
32102,E,HOBBS,3202
32095,W,TYLER,3295
32094,E,TYLER,3294
31106,E,EL PASO,3106
31105,W,VANHORN,3105
31104,E,VANHORN,3104
31103,W,PECOS,3103
31102,E,PECOS,3102
31093,W,ALEXANDRIA,3193
31095,W,PALESTINE,3195
31094,E,PALESTINE,3194
30105,W,MARFA,3005
30104,E,MARFA,3004
30103,W,FT. STOCKTON,3003
30102,E,FT. STOCKTON,3002
30093,W,LAKE CHARLES,3093
30095,W,BEAUMONT,3095
30094,E,BEAUMONT,3094
29104,E,PRESIDIO,2904
29103,W,EMORY PEAK,2903
29102,E,EMORY PEAK,2902
29093,W,PORT ARTHUR,2993
29095,W,HOUSTON,2995
29094,E,HOUSTON,2994
28095,W,BAY CITY,2895
36101,W,PERRYTON,3601
36100,E,PERRYTON,3600
35101,W,AMARILLO,3501
35100,E,AMARILLO,3500
34101,W,PLAINVIEW,3401
34100,E,PLAINVIEW,3400
34099,W,LAWTON,3499
34098,E,LAWTON,3498
34097,W,ARDMORE,3497
33101,W,LUBBOCK,3301
33100,E,LUBBOCK,3300
33099,W,WICHITA FALLS,3399
33098,E,WICHITA FALLS,3398
33097,W,SHERMAN,3397
33096,E,SHERMAN,3396
32101,W,BIG SPRING,3201
32100,E,BIG SPRING,3200
32099,W,ABILENE,3299
32098,E,ABILENE,3298
32097,W,DALLAS,3297
32096,E,DALLAS,3296
31101,W,SANANGELO,3101
31100,E,SANANGELO,3100
31099,W,BROWNWOOD,3199
31098,E,BROWNWOOD,3198
31097,W,WACO,3197
31096,E,WACO,3196
30101,W,SONORA,3001
30100,E,SONORA,3000
30099,W,LLANO,3099
30098,E,LLANO,3098
30097,W,AUSTIN,3097
30096,E,AUSTIN,3096
29101,W,DEL RIO,2901
29100,E,DEL RIO,2900
29099,W,SAN ANTONIO,2999
29098,E,SAN ANTONIO,2998
29097,W,SEGUIN,2997
29096,E,SEGUIN,2996
28100,E,EAGLE PASS,2800
28099,W,CRYSTAL CITY,2899
28098,E,CRYSTAL CITY,2898
28097,W,BEEVILLE,2897
28096,E,BEEVILLE,2896
27099,W,LAREDO,2799
27098,E,LAREDO,2798
27097,W,CORPUS CHRISTI,2797
27096,E,CORPUS CHRISTI,2796
26099,W,MC ALLEN,2699
26098,E,MC ALLEN,2698
25097,S,BROWNSVILLE,2597
26097,N,BROWNSVILLE,2697
28103,S,Emory Peak,2803
