OBJECTID,area_type,area_type_id,area_type_name,orig_data_download_id,area_code,SHAPE_Length,SHAPE_Area
46661,quad,3cf5b2c9-600f-40e5-910d-a2f3e7e7ecb8,Laconia,666666,349057,0.499999942,0.015624996
46662,quad,4253f9bf-0b02-4805-b397-3cdb24be4e65,Zafra,666666,349429,0.49999994,0.015624996
46663,quad,c5508d4a-ace7-4bd0-92ca-91be72735726,Lafe,666666,369052,0.499999942,0.015624996
46664,quad,5ebf4d9f-61f5-4c8b-b397-3394265f556b,Spring Lake,666666,349230,0.499999942,0.015624996
46665,quad,5ab4e795-784a-4822-b1f0-c8d8a5f622ea,Tuckerman,666666,359123,0.49999994,0.015624996
46666,quad,a36d2301-0dda-42bf-9ce6-88aa009a0876,Scott,666666,349224,0.49999994,0.015624996
46667,quad,36f16f56-a833-4547-a3c5-0c51fb85a1b6,Vanndale,666666,359042,0.49999994,0.015624996
46668,quad,ad9fbe0b-a4ae-4732-b270-e496c2d145a4,Rudy NE,666666,359422,0.499999942,0.015624996
46669,quad,ce3faa48-8477-4f52-a49a-8e36e7fe1a83,Y City,666666,349424,0.499999942,0.015624996
46670,quad,5a8b25c1-ab51-4f04-9495-1829e32097e1,Spring Hill,666666,339327,0.499999942,0.015624996
46671,quad,fdba76eb-2284-4daa-a02c-c23b071de051,Frenchmans Bayou,666666,359039,0.499999942,0.015624996
46672,quad,8543f7d0-41ab-4cfd-b770-bc47ee7d27d1,Huttig,666666,339263,0.49999994,0.015624996
46673,quad,78d4af86-64e0-49d5-9637-fe993b9433de,Amagon,666666,359132,0.49999994,0.015624996
46674,quad,d252e693-8110-4401-ae13-63a9ef5e09d8,Lisbon,666666,339242,0.499999942,0.015624996
46675,quad,fe14f006-4c7d-45f6-921f-efc844f4e2fe,Henrico NE,666666,349156,0.499999942,0.015624996
46676,quad,9db5c93e-24fa-4ed1-a467-f57273fd213f,Mena,666666,349431,0.49999994,0.015624996
46677,quad,ab55f1ac-7d48-46ab-88af-26ab21bb689a,Keo,666666,349232,0.49999994,0.015624996
46678,quad,414b6645-e76a-48d4-850d-f84b81b681b1,Gunnison,666666,339001,0.499999944,0.015624996
46679,quad,17159457-3ede-4059-9303-3438350b23ee,Story,666666,349320,0.499999942,0.015624996
46680,quad,58d64072-1e3e-4b2c-ae1f-d953d87fd105,Peel,666666,369234,0.499999944,0.015624996
46681,quad,7ed0572a-51ef-4d6a-993e-4a7c0137a3ac,Pearcy,666666,349338,0.500000252,0.015625016
46682,quad,0c9b5d93-f6fc-4bb4-8619-6bc30b0b6055,Gourd,666666,339112,0.499999942,0.015624996
46683,quad,e517aa71-9166-4e2d-acca-b657f854d644,Perryville,666666,359258,0.500000252,0.015625016
46684,quad,2ffb8d10-1898-4c47-8ecf-bcaa3b4c4903,Fordyce NE,666666,339206,0.499999944,0.015624996
46685,quad,529535db-25ab-4a7f-9ee3-55c3fae6cdb4,Cades,666666,349160,0.499999942,0.015624996
46686,quad,9fecee97-5bfe-4b34-b7c0-5afc594b81e0,Campbell,666666,369040,0.499999944,0.015624996
46687,quad,9034bb04-d01b-4861-bd5a-8f595902b65d,Potter,666666,349430,0.499999942,0.015624996
46688,quad,09435bac-d96c-4927-9ee1-f8819bdc336b,Junction City,666666,339259,0.49999994,0.015624996
46689,quad,ce97af9b-0b61-4814-b602-f6ed002923ef,Nimrod SW,666666,349315,0.499999942,0.015624996
46690,quad,05d5c33d-a21a-4b33-bf42-41eb78644168,New Union,666666,339255,0.499999942,0.015624996
46691,quad,098deda2-d57a-4c3e-8987-86a3fee885b4,Wittsburg,666666,359051,0.500000252,0.015625016
46692,quad,0631b3b0-a151-4fe2-9010-5addce6e4405,Emmet,666666,339321,0.50000025,0.015625016
46693,quad,f8e2449a-cf97-4b52-ba3d-414ea4b17b49,Bates,666666,349405,0.49999994,0.015624996
46694,quad,aabf2879-0478-4132-8f31-5ac7ea42b79f,Leachville,666666,359006,0.499999942,0.015624996
46695,quad,85e0e494-a699-4461-b17e-eff2234cf398,Hickory Ridge,666666,359033,0.499999944,0.015624996
46696,quad,3023e8f4-1815-41fa-8857-b4f150c26b49,Horseshoe Lake,666666,349006,0.499999942,0.015624996
46697,quad,23abaebe-d870-4303-87da-6978e87512ac,Swifton West,666666,359115,0.499999942,0.015624996
46698,quad,59d27b6f-1a03-4865-b382-7c8d94202b62,Manila South,666666,359015,0.499999942,0.015624996
46699,quad,c2bb3ea5-b7a1-4e36-a98a-6d64ef517315,Harvey,666666,349310,0.499999944,0.015624996
46700,quad,025b0d69-bca7-4795-a73c-e9388f59e59d,Pine Bluff NW,666666,349255,0.499999942,0.015624996
46701,quad,4ace4af8-0efc-4c1b-a930-422e4a0135f5,Charlotte,666666,359113,0.499999942,0.015624996
46702,quad,9b7d7bdc-a292-4c63-a536-b0f0bb701410,Sherrill,666666,349133,0.500000252,0.015625016
46703,quad,19c2e420-b29d-4410-8d94-2e91353ffee0,Ola,666666,359363,0.50000025,0.015625016
46704,quad,d53e6c39-7be8-499c-9c0a-04495f4b53c6,Paron,666666,349210,0.499999944,0.015624996
46705,quad,96b96c0d-9c48-4f9e-a31a-8bbe00219c50,Madison,666666,359059,0.50000056,0.015625035
