zipped_by_area_type_id,zipped_by_area_type,zipped_by_area_type_name,created,last_modified,orig_data_download_id
418d96bd-72ac-4fe0-884e-beb19bd82473,state,Texas,2018-07-03 07:58:53.917268,2018-07-03 07:58:53.917270,1
a42f5394-9861-41ed-b87a-821e8d294699,county,Anderson,2018-07-03 07:58:53.917317,2018-07-03 07:58:53.917318,2
bee75594-3721-4a4f-83ec-b6bd46c800fc,county,Andrews,2018-07-03 07:58:53.917351,2018-07-03 07:58:53.917352,3
1795f43a-7f77-44c6-82b1-aeade631ad4a,county,Angelina,2018-07-03 07:58:53.917380,2018-07-03 07:58:53.917381,4
8205c8d1-e450-4a0c-b969-9066aece4ec4,county,Aransas,2018-07-03 07:58:53.917409,2018-07-03 07:58:53.917410,5
47888e5b-4c59-4787-8053-52118b99eb5d,county,Archer,2018-07-03 07:58:53.917438,2018-07-03 07:58:53.917439,6
ca1eafd5-c053-470c-a17d-b1ce9c1026e2,county,Armstrong,2018-07-03 07:58:53.917580,2018-07-03 07:58:53.917583,7
6cd6de13-9122-4e7c-897f-fc7c4a27aed6,county,Atascosa,2018-07-03 07:58:53.917627,2018-07-03 07:58:53.917628,8
a66dfc57-87b5-43c0-88c2-8e40804688bf,county,Austin,2018-07-03 07:58:53.917659,2018-07-03 07:58:53.917660,9
d9f3fef6-b79d-45ab-a4a0-025a122af11b,county,Bailey,2018-07-03 07:58:53.917689,2018-07-03 07:58:53.917690,10
93efffb5-6474-48e6-9fc4-f09efd969472,county,Bandera,2018-07-03 07:58:53.917719,2018-07-03 07:58:53.917720,11
36ffcd08-1fbf-4054-a064-e84ff33842e7,county,Bastrop,2018-07-03 07:58:53.917749,2018-07-03 07:58:53.917750,12
c2b0bbc6-6463-459f-b117-bfa478573d43,county,Baylor,2018-07-03 07:58:53.917810,2018-07-03 07:58:53.917811,13
637f267e-2ed1-4a0b-ada6-bddc6aebd26b,county,Bee,2018-07-03 07:58:53.917847,2018-07-03 07:58:53.917848,14
fdaff7b3-e4ff-4ac4-bc97-a930a574002f,county,Bell,2018-07-03 07:58:53.917879,2018-07-03 07:58:53.917880,15
c5ff12cb-22bf-4ed9-a964-9f5cd94945ec,county,Bexar,2018-07-03 07:58:53.917910,2018-07-03 07:58:53.917911,16
832ee18b-f907-487b-847f-12500873537c,county,Blanco,2018-07-03 07:58:53.917940,2018-07-03 07:58:53.917941,17
ca86bdae-2a0d-4038-9fb4-e73b026e3815,county,Borden,2018-07-03 07:58:53.917970,2018-07-03 07:58:53.917971,18
204439a5-5eba-4569-a245-874d69665f13,county,Bosque,2018-07-03 07:58:53.917999,2018-07-03 07:58:53.918000,19
3f888925-0392-48fe-9059-2eea1d1de1f4,county,Bowie,2018-07-03 07:58:53.918041,2018-07-03 07:58:53.918041,20
437f360e-c34a-4fa8-a84e-31297c2e7423,county,Brazoria,2018-07-03 07:58:53.918084,2018-07-03 07:58:53.918085,21
dcd360dc-1a35-4bf0-b620-50a865ae6550,county,Brazos,2018-07-03 07:58:53.918126,2018-07-03 07:58:53.918127,22
a69df0d3-b43a-428c-bb36-c8305f741653,county,Brewster,2018-07-03 07:58:53.918155,2018-07-03 07:58:53.918156,23
dc8f71b9-305e-4ab4-8091-3153e03e533c,county,Briscoe,2018-07-03 07:58:53.918183,2018-07-03 07:58:53.918184,24
625df49b-cd7c-41db-b5e2-e8df3ac92eaf,county,Brooks,2018-07-03 07:58:53.918212,2018-07-03 07:58:53.918213,25
93079e01-c4bb-41be-b460-4041f71965e9,county,Brown,2018-07-03 07:58:53.918240,2018-07-03 07:58:53.918241,26
0b4c58f5-11c1-4b25-9edf-47aafd5d0ea0,county,Burleson,2018-07-03 07:58:53.918272,2018-07-03 07:58:53.918273,27
fc23ac20-2a60-472b-8c79-389df9b080bd,county,Burnet,2018-07-03 07:58:53.918301,2018-07-03 07:58:53.918302,28
677e7c00-7010-417f-ba55-66e8b90daa56,county,Caldwell,2018-07-03 07:58:53.918328,2018-07-03 07:58:53.918329,29
79311124-365c-45bb-bcf5-d2ad070b0923,county,Calhoun,2018-07-03 07:58:53.918356,2018-07-03 07:58:53.918357,30
edeb2041-65ce-4540-990b-72a4de889b88,county,Callahan,2018-07-03 07:58:53.918385,2018-07-03 07:58:53.918386,31
1c4c2bf3-660c-4f42-99aa-b76220aa3ded,county,Cameron,2018-07-03 07:58:53.918414,2018-07-03 07:58:53.918415,32
c34cf755-7d3b-4b21-b266-c3a7e79183a6,county,Camp,2018-07-03 07:58:53.918442,2018-07-03 07:58:53.918443,33
51b89d0a-b410-4868-ae01-342406d120dc,county,Carson,2018-07-03 07:58:53.919288,2018-07-03 07:58:53.919293,34
a2add36c-2f73-420b-bd5c-832c29b9a5a2,county,Cass,2018-07-03 07:58:53.919360,2018-07-03 07:58:53.919361,35
3b4647ad-2b81-40e7-940c-60f347899ed9,county,Castro,2018-07-03 07:58:53.919395,2018-07-03 07:58:53.919396,36
d44d8777-e541-47fd-a771-f7a20180f6cf,county,Chambers,2018-07-03 07:58:53.919426,2018-07-03 07:58:53.919427,37
015455e2-b6e9-4f5b-8e7a-8f5758931539,county,Cherokee,2018-07-03 07:58:53.919630,2018-07-03 07:58:53.919632,38
35bf3734-e2ed-4df5-b12e-054daac84b8b,county,Childress,2018-07-03 07:58:53.919680,2018-07-03 07:58:53.919681,39
fd748e7f-04d3-4bcc-8cd2-0bd0355b3bbb,county,Clay,2018-07-03 07:58:53.919715,2018-07-03 07:58:53.919716,40
e8d8e7cd-3dda-4d8f-a08f-488a7be2af5a,county,Cochran,2018-07-03 07:58:53.919746,2018-07-03 07:58:53.919747,41
9215d374-1317-4b4d-9fa9-56485c35d571,county,Coke,2018-07-03 07:58:53.919777,2018-07-03 07:58:53.919778,42
7b2dbad0-871c-423f-8199-1033a1f82c64,county,Coleman,2018-07-03 07:58:53.919806,2018-07-03 07:58:53.919807,43
e78760c4-cacf-4c7d-9346-0007331f5285,county,Collin,2018-07-03 07:58:53.919835,2018-07-03 07:58:53.919836,44
d18046fe-c32d-4259-ba22-4a1330ff33f6,county,Collingsworth,2018-07-03 07:58:53.919864,2018-07-03 07:58:53.919865,45
d2cfb284-5000-4308-8f9e-fd3901154330,county,Colorado,2018-07-03 07:58:53.919893,2018-07-03 07:58:53.919895,46
e9d64312-085c-4323-b0c0-b6cb36ecda72,county,Comal,2018-07-03 07:58:53.919923,2018-07-03 07:58:53.920740,47
