date_added,filename,urlized_category,thumb_url,supplemental_report,spatial_reference,alternative_data,available_formats,download,pop_link,status_map_cartodb_id,template,relationship_tag,agency_gis_page,title,coverage_extent,detail_image_url,tile_index,category,description,derivative_data,order,recommended_use,name,download_link,tile_index_url,overview_image_url,supplemental_report_url,download_size,lidar_breaklines,type,lidar_breaklines_url,tags,agency_web,license_text,footprint,agency,license_url,license,data_download_lvl,wms_category,date_created,statewide_coverage,known_issues,source,wms_link,short_description,urlized_name,natural_image_url,urban_image_url,cir_link,nc_link,hueco_tanks_link,powderhorn_ranch_link,hidden_pines_link,elpaso_link,dfw_link,amarillo_link,lubbock_link,brazos_link,palestine_link,status_map_url
 2017-4-20, data-catalog/entry/fema-2014-upper-clear-fork-brazos.md, lidar, images/data-catalog/entry/fema_2014_upper_clear_fork_brazos_th.jpg, T,," 1M Hydro-flattened DEM, 3D Breaklines", LAS, T,, 6895ba3c-bbf3-11e6-b348-0e3ebc282e83, data-catalog-entry.html,,, FEMA 2014 Upper Clear Fork Brazos," Scurry, Fisher, Jones, Shackleford, Nolan, Taylor, Callahan and Throckmorton", images/data-catalog/entry/fema_2014_upper_clear_fork_brazos_detail.jpg, Lidar, Lidar,"This Lidar dataset is a survey of the Upper Clear Fork Brazos 0.7 Meter LiDAR Survey in central Texas and encompasses 2983 square miles. The LiDAR point cloud was flown at a nominal post spacing of 0.7 meters for unobscured areas. The LiDAR data and derivative products produced are in compliance with the U.S. Geological Survey National Geospatial Program Guidelines and Base Specifications, Version 1.0. The flight lines were acquired by Digital Aerial Solutions, LLC. between December 12, 2014 and December 24, 2014. Derivative products from the aerial acquisition include: Raw point cloud data in LAS v1.2, classified point cloud data in LAS v1.2, Bare earth surface tiles, LiDAR Intensity Image, Breaklines, control points, project report acquisition report, and FGDC compliant XML metadata.Lidar data for Texas is made available online through the use of data compression using [LASTools](https://rapidlasso.com/lastools/). LASTools is an open-source collection of tools for lidar data viewing and manipulation. TNRIS uses the LASzip portion of LASTools for compression\decompression. LASTools provides a lossless compression of the data from las to laz formats.- Software with native LAZ support- ERDAS IMAGINE (14.1 and up) by Hexagon Geospatial- Global Mapper (13.1 and up) by Blue Marble Geo- ENVI LiDAR (5.1 and up) by Exelis VIS- FME (2012 and up) by Safe Software- LAStools by rapidlasso- plas.io 3D Web Viewer by Hobu Inc.- FUSION (3.40 and up) by Bob McGaughey of the USDA- Voyager (1.3 and up) by Voyager GIS- GRASS GIS (7.0 and up) by Open Source Geospatial Foundation (OSGeo)", 5ft Contours, T," Basemap, Research, Analysis", FEMA 2014 Upper Clear Fork Brazos Lidar,, https://tnris-datadownload.s3.amazonaws.com/d/tnris-lidar/state/tx/tnris-lidar_tx.zip, images/data-catalog/entry/fema_2014_upper_clear_fork_brazos_overview.jpg, https://tnris-datadownload.s3.amazonaws.com/datacatalog/supplemental_reports/fema_2014_upper_clear_fork_brazos_supplementalreports.zip,, T, Raster, https://tnris-datadownload.s3.amazonaws.com/datacatalog/lidar_breaklines/fema_2014_upper_clear_fork_brazos_breaklines.zip,,, Public Domain (Creative Commons CC0), US National Grid, FEMA, https://creativecommons.org/publicdomain/zero/1.0/, CC0,,,,,, FEMA,, <p>FEMA Lidar for the Upper Clear Fork Brazos</p>, fema-2014-upper-clear-fork-brazos,,,,,,,,,,,,,,
 2014-02-01, data-catalog/entry/usgs-2008-120cm.md, lidar, images/data-catalog/entry/usgs_2008_120cm_th.jpg,, <p><a href='https&#58;//epsg.io/26914'>EPSG 26914</a></p>," 1M Hydro-flattened DEM, 3D Breaklines", LAS, T,, d2db1b6e-e2c2-11e4-b355-0e0c41326911, data-catalog-entry.html,,, USGS 2008 120cm," Kleberg, Kenedy",, Lidar, Lidar,"This Texas Coastal Light Detection and Ranging (Lidar) Task Order is to provide high accuracy bare-earth processed, raw point cloud return data, and gridded Lidar data, for approximately 2388 square miles consisting of the Texas counties of Kleberg and Kennedy.The project consisted of acquisition, post-processing, and classification of Lidar data. The classified bare-earth data achieves the following: nominal horizontal spacing of 1.2 meters based on the Universal Transverse Mercator, Zone 14, related to the North American Datum of 1983 (NSRS2007). Vertical accuracy was to achieve no more than 18.0 centimeters or better relative to the North American Vertical Datum of 1988. Accuracy statement is based on the area of moderate to flat terrain. Diminished accuracies are to be expected in areas in dense vegetation.The accuracy of the Lidar data as tested met the vertical accuracy of 18.0 centimeters or less standards, however, derived products may be less accurate in areas of dense vegetation due to a lesser number of points defining the bare-earth in these areas.Lidar data for Texas is made available online through the use of data compression using [LASTools](https://rapidlasso.com/lastools/). LASTools is an open-source collection of tools for lidar data viewing and manipulation. TNRIS uses the LASzip portion of LASTools for compression\decompression. LASTools provides a lossless compression of the data from las to laz formats.- Software with native LAZ support- ERDAS IMAGINE (14.1 and up) by Hexagon Geospatial- Global Mapper (13.1 and up) by Blue Marble Geo- ENVI LiDAR (5.1 and up) by Exelis VIS- FME (2012 and up) by Safe Software- LAStools by rapidlasso- plas.io 3D Web Viewer by Hobu Inc.- FUSION (3.40 and up) by Bob McGaughey of the USDA- Voyager (1.3 and up) by Voyager GIS- GRASS GIS (7.0 and up) by Open Source Geospatial Foundation (OSGeo)", None, T," Basemap, Research, Analysis", USGS 2008 120cm Lidar,, https://tnris-datadownload.s3.amazonaws.com/d/tnris-lidar/state/tx/tnris-lidar_tx.zip, images/data-catalog/entry/usgs_2008_120cm_overview.jpg,,, T, Raster, https://tnris-datadownload.s3.amazonaws.com/datacatalog/lidar_breaklines/usgs_2008_120cm_kleberg_kenedy_breaklines.zip," Kleberg, Kennedy, Lidar, Point Cloud, LAS, Elevation, USGS, United States Geological Survey", www.usgs.gov/, Public Domain (Creative Commons CC0), USGS 1k Grid, United States Geological Survey, https://creativecommons.org/publicdomain/zero/1.0/, CC0,,, 2008,, Only bare earth returns available.  Bare earth returns are classified as 6 instead of 2., USGS,, <p>Lidar for approximately 2388 square miles consisting of the Texas counties of Kleberg and Kenedy.</p>, usgs-2008-120cm,,,,,,,,,,,,,,
 2014-02-01, data-catalog/entry/fema-2011-1m-liberty.md, lidar, images/data-catalog/entry/fema_2011_1m_liberty_th.jpg, T, <p><a href='https&#58;//epsg.io/26915'>[EPSG 26915</a></p>, 3D Breaklines, LAS, T,, 38e71b66-df8e-11e4-ac83-0e4fddd5de28, data-catalog-entry.html,,, FEMA 2011 1m Liberty,  Liberty,, Lidar, Lidar,"This Lidar dataset represents digital elevation information covering riparian zones in Liberty County, TX. The Lidar data was acquired by Fugro EarthData in 2011 using Leica ALS60 Lidar system at a nominal point spacing of 1 meter. The project was funded by FEMA to assist with hydrologic studies and hydraulic analysis to determine the risk of flood hazards.Lidar data for Texas is made available online through the use of data compression using [LASTools](https://rapidlasso.com/lastools/). LASTools is an open-source collection of tools for lidar data viewing and manipulation. TNRIS uses the LASzip portion of LASTools for compression\decompression. LASTools provides a lossless compression of the data from las to laz formats.- Software with native LAZ support- ERDAS IMAGINE (14.1 and up) by Hexagon Geospatial- Global Mapper (13.1 and up) by Blue Marble Geo- ENVI LiDAR (5.1 and up) by Exelis VIS- FME (2012 and up) by Safe Software- LAStools by rapidlasso- plas.io 3D Web Viewer by Hobu Inc.- FUSION (3.40 and up) by Bob McGaughey of the USDA- Voyager (1.3 and up) by Voyager GIS- GRASS GIS (7.0 and up) by Open Source Geospatial Foundation (OSGeo)",, T," Basemap, Research, Analysis", FEMA 2011 1m Liberty Lidar,, https://tnris-datadownload.s3.amazonaws.com/d/tnris-lidar/state/tx/tnris-lidar_tx.zip, images/data-catalog/entry/fema_2011_1m_liberty_overview.jpg, https://tnris-datadownload.s3.amazonaws.com/datacatalog/supplemental_reports/fema_2011_1m_liberty_supplementalreports.zip,, T, Raster, https://tnris-datadownload.s3.amazonaws.com/datacatalog/lidar_breaklines/fema_2011_1m_liberty_breaklines.zip," Liberty, Lidar, Point Cloud, LAS, Elevation, County, Historical", http://www.fema.gov/, Public Domain (Creative Commons CC0), N/A, Federal Emergency Management Agency, https://creativecommons.org/publicdomain/zero/1.0/, CC0,,, 2011,,, FEMA,," <p>Lidar for Liberty County, TX.</p>", fema-2011-1m-liberty,,,,,,,,,,,,,,
 2014-02-01, data-catalog/entry/stratmap-2009-1m-dallas.md, lidar, images/data-catalog/entry/stratmap_2009_1m_dallas_th.jpg, T, <p><a href='https&#58;//epsg.io/26914'>EPSG 26914</a></p>," 5M Hydro-flattened DEM, 3D Breaklines", LAS, T,, 3ccf1d18-e2b9-11e4-8d26-0e018d66dc29, data-catalog-entry.html,,, StratMap 2009 1m Dallas," Dallas, Tarrant, Rockwall, Denton, Collin, Ellis",, Lidar, Lidar,"Provide high density Lidar elevation data map to establish an authoritative source for elevation information for the state of Texas. This Lidar operation was designed to provide a high density set of mass points within the defined areas.The data sets are suitable for the development of contours for use in hydraulic/hydrologic model development, and for assessing environmental impacts. Typical uses for the data set include: Flood Risk MAP (Mapping, Assessment, and Planning). DFIRM map updates. Watersheds and other hydro studies per FEMA specifications. County Mapping projects which include several uses, in addition to Flood mitigation assessment. Mapping projects that include accuracy verification, reporting and metadata.This dataset was acquired through the High Priority Imagery and Data Sets (HPIDS) contract. The contract was created in 2009 to maximize spending power by coordinating geospatial data purchases to share costs and to ensure that acquired data meet high standards of quality. The successor to HPIDS is the StratMap contract, established in 2015.Lidar data for Texas is made available online through the use of data compression using [LASTools](https://rapidlasso.com/lastools/). LASTools is an open-source collection of tools for lidar data viewing and manipulation. TNRIS uses the LASzip portion of LASTools for compression\decompression. LASTools provides a lossless compression of the data from las to laz formats.- Software with native LAZ support- ERDAS IMAGINE (14.1 and up) by Hexagon Geospatial- Global Mapper (13.1 and up) by Blue Marble Geo- ENVI LiDAR (5.1 and up) by Exelis VIS- FME (2012 and up) by Safe Software- LAStools by rapidlasso- plas.io 3D Web Viewer by Hobu Inc.- FUSION (3.40 and up) by Bob McGaughey of the USDA- Voyager (1.3 and up) by Voyager GIS- GRASS GIS (7.0 and up) by Open Source Geospatial Foundation (OSGeo)", 5ft Contours, T," Basemap, Research, Analysis", StratMap 2009 1m Dallas Lidar,, https://tnris-datadownload.s3.amazonaws.com/d/tnris-lidar/state/tx/tnris-lidar_tx.zip, images/data-catalog/entry/stratmap_2009_1m_dallas_overview.jpg, https://tnris-datadownload.s3.amazonaws.com/datacatalog/supplemental_reports/stratmap_2009_1m_dallas_supplementalreports.zip,, T, Raster, https://tnris-datadownload.s3.amazonaws.com/datacatalog/lidar_breaklines/stratmap_2009_1m_dallas_breaklines.zip," Dallas, Tarrant, Rockwall, Denton, Collin, Ellis, Lidar, Point Cloud, LAS, Elevation, County, Historical",, Public Domain (Creative Commons CC0), 1/4 USGS Quadrangle,, https://creativecommons.org/publicdomain/zero/1.0/, CC0,,, 2009,, None, TNRIS,, <p>Lidar data for Dallas</p>, stratmap-2009-1m-dallas,,,,,,,,,,,,,,
 2015-05-27, data-catalog/entry/twdb-well-location-grid.md, reference-grid, images/data-catalog/entry/twdb_well_location_grid_th.jpg,, <p><a href='https&#58;//epsg.io/4269'>EPSG 4269</a></p>,, Shapefile,,, d5084e86-dec9-11e4-afda-0e0c41326911, data-catalog-entry.html,,, TWDB Well Location Grid, Statewide, images/data-catalog/entry/twdb_well_location_grid_detail.jpg,, Reference Grid,"To facilitate the location of wells and avoid duplication of well numbers, a statewide well-numbering system has been adopted. It is based on division of the State into a grid of 1-degree quadrangles formed by degrees of latitude and longitude and the repeated division of these quadrangles into smaller ones.- Each 1-degree quadrangle is divided into sixty-four 7 1/2-minute quadrangles, each of which is further divided into nine 2 1/2-minute quadrangles.- Each 1-degree quadrangle in the State has been assigned an identification number.- The 7 1/2-minute quadrangles are numbered consecutively from left to right, beginning in the upper left-hand corner of the 1-degree quadrangle and the 2 1/2-minute quadrangles within each 7 1/2-minute quadrangle are similarly numbered.- The first 2 digits of a well number identify the 1-degree quadrangle; the third and fourth digits, the 7 1/2-minute quadrangle; and the fifth digit identifies the 2 1/2-minute quadrangle.",,," Planning, analysis, cartography", TWDB Well Location Grid, http://www.twdb.texas.gov/mapping/gisdata/doc/state_grids.zip,,,, 4.1 MB,, Vector,," TWDB, Water Resources", http://www.twdb.texas.gov/,, State, Texas Water Development Board,, NA, state,, 2015,, None, TWDB,," <p>To facilitate the location of wells and avoid duplication of well numbers, a statewide well-numbering system has been adopted.</p>", twdb-well-location-grid,,,,,,,,,,,,,,
 2014-02-01, data-catalog/entry/soils.md, natural-regions, images/data-catalog/entry/soils_th.jpg,, <p><a href='https&#58;//epsg.io/4269'>EPSG 4269</a></p>, None, Shapefile, T,, d5084e86-dec9-11e4-afda-0e0c41326911, data-catalog-entry.html,,, Soils, Texas, images/data-catalog/entry/soils_detail.jpg,, Natural Regions,"This data set is a digital soil survey and generally is the most detailed level of soil geographic data developed by the National Cooperative Soil Survey. The information was prepared by digitizing maps, by compiling information onto a planimetric correct base and digitizing, or by revising digitized maps using remotely sensed and other information. This data set consists of georeferenced digital map data and computerized attribute data.The map data are in a soil survey area extent format and include a detailed, field verified inventory of soils and miscellaneous areas that normally occur in a repeatable pattern on the landscape and that can be cartographically shown at the scale mapped. A special soil features layer (point and line features) is optional. This layer displays the location of features too small to delineate at the mapping scale, but they are large enough and contrasting enough to significantly influence use and management. The soil map units are linked to attributes in the National Soil Information System relational database, which gives the proportionate extent of the component soils and their properties.SSURGO depicts information about the kinds and distribution of soils on the landscape. The soil map and data used in the SSURGO product were prepared by soil scientists as part of the National Cooperative Soil Survey.", None,, Basemap, Soils, https://tnris-datadownload.s3.amazonaws.com/d/nrcs-soils/state/tx/nrcs-soils_tx.zip,, images/data-catalog/entry/soils_overview.jpg,,,, Vector,," Soil, SSURGO, Survey, Geographic, Database, Agriculture, USDA, United States Department of Agriculture, NRCS, Natural Resources Conservation Service",, Public Domain (Creative Commons CC0)," State, County",, https://creativecommons.org/publicdomain/zero/1.0/, CC0," state,county",,, T, None, NRCS,, <p>This data set is a digital soil survey and generally is the most detailed level of soil geographic data developed by the National Cooperative Soil Survey.</p>, soils,,,,,,,,,,,,,,
 2014-02-01, data-catalog/entry/txdot-railroads.md, transportation, images/data-catalog/entry/txdot_railroads_th.jpg,, <p><a href='https&#58;//epsg.io/4269'>EPSG 4269</a></p>, None, Shapefile,,, d5084e86-dec9-11e4-afda-0e0c41326911, data-catalog-entry.html,,, TxDOT Railroads, Texas, images/data-catalog/entry/txdot_railroads_detail.jpg,, Transportation,"This data was created by the Transportation Planning and Programming Division of TxDOT in the Data Analysis, Mapping and Reporting Branch using aerial imagery.It is maintained to enable the visualization of rail road inventory attributes, update rail road crossing data, and serve as a base layer for cartographic products.- Date valid as of: 12/31/2015- Publish Date: 2/5/2016- Update Frequency: Yearly", None,, Basemap, TxDOT Railroads, https://tnris-datadownload.s3.amazonaws.com/d/txdot-rail/state/tx/txdot-rail_tx.zip,, images/data-catalog/entry/txdot_railroads_overview.jpg,,,, Vector,," Texas Department of Transportation, TxDOT, Railroad, Statewide", https://www.txdot.gov/,, State, Texas Department of Transportation,, NA, state,, 2015,, None, TxDOT,," <p>TXDOT’s GIS linework for Active, Inactive, and Pulled railroads.</p>", txdot-railroads,,,,,,,,,,,,,,
 2014-02-01, data-catalog/entry/usgs-2009-mcallen-30cm-nc.md, orthoimagery-regional, images/data-catalog/entry/usgs_2009_mcallen_30cm_nc_th.jpg,, <p><a href='https&#58;//epsg.io/26914'>EPSG 26914</a></p>, None," GeoTiff, JPEG 2000", T,, a32474a2-deed-11e4-a973-0e0c41326911, data-catalog-entry.html,,, USGS 2009 McAllen 30cm NC, City of McAllen,, T, Orthoimagery - Regional,"This data set consists of 0.3-meter pixel resolution (approximately 1-foot), natural color orthoimages covering the urban area footprint of Amarillo, Lubbock and McAllen, Texas (approximately 1431 square miles).An orthoimage is remotely sensed image data in which displacement of features in the image caused by terrain relief and sensor orientation have been mathematically removed. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. The design accuracy is estimated not to exceed 3-meter diagonal RMSE (2.12m RMSE in X or Y).Each orthoimage provides imagery over a 1500-meter by 1500-meter block on the ground. There is no image overlap between adjacent files. The projected coordinate system is UTM with a NAD83 datum. The naming convention is based on the U. S. National Grid (USNG), taking the coordinates of the SW corner of the orthoimage. Nominal Acquisition Altitude (AGL) was 9600'. The geoid used to reduce satellite derived elevations to orthometric heights was Geoid 03. GPS coordinates are referenced to NAD83 Universal Transverse Mercator Zone 14. The maximum differential baseline length is 20.54 miles. The mean baseline length is 15.84 miles. Camera sensors calibration reports are included in the project report. Calibration flights are flown regularly.", None,, Basemap, USGS 2009 McAllen 30cm NC Orthoimagery,, https://tnris-datadownload.s3.amazonaws.com/datacatalog/tile_index/usgs_2009_mcallen_30cm_nc_tileindex.zip, images/data-catalog/entry/usgs_2009_mcallen_30cm_nc_overview.jpg,,,, Raster,," McAllen, Hidalgo, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, United States Geological Survey", www.usgs.gov/, Public Domain (Creative Commons CC0), US National Grid, United States Geological Survey, https://creativecommons.org/publicdomain/zero/1.0/, CC0, qquad,, 2009,, None, USGS,," <p>Natural Color 30 centimeter Orthoimagery covering the urban area footprint of McAllen, Texas.</p>", usgs-2009-mcallen-30cm-nc, images/data-catalog/entry/usgs_2009_mcallen_30cm_nc_natural.jpg, images/data-catalog/entry/usgs_2009_mcallen_30cm_nc_urban.jpg,,,,,,,,,,,,
 2014-02-01, data-catalog/entry/census-2000.md, demographics, images/data-catalog/entry/census_2000_th.jpg,, <p><a href='https&#58;//epsg.io/4269'>EPSG 4269</a></p>, None," Shapefile, GDB",,, d5084e86-dec9-11e4-afda-0e0c41326911, data-catalog-entry.html,,, Census 2000, Texas, images/data-catalog/entry/census_2000_detail.jpg,, Demographics,"Census Block, Block Groups and Tracts for the census 2000.", None,, Basemap, Census 2000, https://tnris-datadownload.s3.amazonaws.com/d/uscb00-bsc/state/tx/uscb00-bsc_tx.zip,,,," 24.55 MB, 1.50 MB",, Vector,," Population, Statistics, Census, Block, Tract, Group, Demographic, Age, Race, Ethnicity",, Public Domain (Creative Commons CC0)," State, County",, https://creativecommons.org/publicdomain/zero/1.0/, CC0," state,county",, 2000, T, Is not joined to have all Census information, USCB,," <p>Census Block, Block Groups and Tracts for the census 2000.</p>", census-2000,,,,,,,,,,,,,,
 2014-02-01, data-catalog/entry/low-water-crossings.md, floodplain, images/data-catalog/entry/low_water_crossings_th.jpg,, <p><a href='https&#58;//epsg.io/4269'>EPSG 4269</a></p>, None, Shapefile,, https://webservices.tnris.org/arcgis/rest/services/Low_Water_Crossings/Low_Water_Crossings/MapServer?f=jsapi, d5084e86-dec9-11e4-afda-0e0c41326911, data-catalog-entry.html,,, Low Water Crossings, Texas,,, Floodplain,This is the start of the statewide inventory of low water crossings in Texas. Various sources of data have been compiled to create this file. The purpose of this first phase to locate as many low water crossings as possible. Texas leads the nation in flood deaths and the majority of those deaths are in vehicles. It is thought that locating the low water crossings will better define risks of flooding, None,, Basemap, Low Water Crossings, https://tnris-datadownload.s3.amazonaws.com/d/tnris-lwx/state/tx/tnris-lwx_tx.zip,, images/data-catalog/entry/low_water_crossings_overview.jpg,,,, Vector,," Texas, Statewide, Watershed, Hydrography, Hydrology, HUC, Low Water Crossings",, Public Domain (Creative Commons CC0), State,, https://creativecommons.org/publicdomain/zero/1.0/, CC0, state, Floodplain, 2011,," Age, Dataset has not been maintained or updated since 2010", TNRIS, https://webservices.tnris.org/arcgis/services/Low_Water_Crossings/Low_Water_Crossings/MapServer/WMSServer, <p>Dataset showing documented low water crossing of Texas</p>, low-water-crossings,,,,,,,,,,,,,,
