"id","collection","from_date","to_date","public","remarks","created","last_modified","agency_id","frames_service_url","index_service_url","ls4_link","mosaic_service_url"
"56333535-622a-4262-a4bc-3385d43e5781","VBID","1966-01-14","1966-01-14",t,"","2018-02-07 16:08:18.43891+00","2018-06-07 21:23:58.823788+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"7d6b15e2-cf27-4be9-b3d0-fda0bea6acf3","USAF-1944","1944-09-21","1944-11-01",t,"Part of a collection that includes Loving, Reeves, Ward, and Winkler counties.","2018-08-08 20:10:54.300937+00","2018-08-08 20:13:49.658076+00","fc7f2321-d7c3-46aa-84fb-9818e826557a","","","",""
"27b2bdd2-7772-4b2d-b5f0-bdd2e78dab00","VAWN","1964-02-10","1964-02-12",t,"","2018-02-07 16:08:36.049871+00","2018-06-07 21:26:19.761664+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"a0eb3875-e031-4b40-a927-69889271bcfd","SWIF","1974-02-15","1974-02-15",t,"","2018-02-07 16:07:32.27102+00","2018-06-07 21:41:45.803572+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"0967524f-5636-483d-a4a5-4df20f959d91","SWFH","1971-11-26","1971-11-26",t,"","2018-02-07 16:07:34.998938+00","2018-06-07 21:43:40.3275+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"a38808f6-3959-4098-9257-9328623f5fd4","DDG-1945","1945-03-26","1945-03-26",t,"None
","2018-02-07 16:07:43.794418+00","2018-02-07 16:07:43.794396+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"050ef0a2-46cc-4661-9f94-2a260bb43306","CKH","1961-10-16","1961-10-16",t,"","2018-02-07 16:08:21.269523+00","2018-06-11 15:52:55.759717+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"41c461d6-0a2c-4a62-a524-501a5ced1ef6","CGJ-1949","1949-05-14","1949-05-14",t,"None
PHOTO INDEX","2018-02-07 16:07:44.924533+00","2018-02-07 16:07:44.924512+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"4bc3ab28-c068-4331-be35-ae235da99cf4","930138","1994-01-18","1994-01-19",t,"None
PHOTO INDEX
","2018-02-07 16:07:45.248789+00","2018-02-07 16:07:45.248754+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"120d3d9d-b5d9-4e68-b3db-4d62f642557e","CKV","1962-01-30","1962-01-30",t,"","2018-02-07 16:08:19.329452+00","2018-06-11 15:54:03.208021+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
