"id","collection","from_date","to_date","public","remarks","created","last_modified","agency_id","frames_service_url","index_service_url","mosaic_service_url","ls4_link"
"56333535-622a-4262-a4bc-3385d43e5781","VBID","1966-01-14","1966-01-14",t,"","2018-02-07 16:08:18.43891+00","2018-06-07 21:23:58.823788+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"27b2bdd2-7772-4b2d-b5f0-bdd2e78dab00","VAWN","1964-02-10","1964-02-12",t,"","2018-02-07 16:08:36.049871+00","2018-06-07 21:26:19.761664+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"a0eb3875-e031-4b40-a927-69889271bcfd","SWIF","1974-02-15","1974-02-15",t,"","2018-02-07 16:07:32.27102+00","2018-06-07 21:41:45.803572+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"0967524f-5636-483d-a4a5-4df20f959d91","SWFH","1971-11-26","1971-11-26",t,"","2018-02-07 16:07:34.998938+00","2018-06-07 21:43:40.3275+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"120d3d9d-b5d9-4e68-b3db-4d62f642557e","CKV","1962-01-30","1962-01-30",t,"","2018-02-07 16:08:19.329452+00","2018-06-11 15:54:03.208021+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"6b72e912-b762-40aa-ad9c-a20815f0f151","317920","1978-06-21","1978-06-21",t,"","2018-02-07 16:08:38.801172+00","2018-12-20 14:12:15.850937+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"82bf0615-17ef-4579-a815-7236e859f83f","344193","1980-11-03","1981-05-26",t,"","2018-02-07 16:08:17.014057+00","2018-12-20 19:11:30.893162+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"716b4928-cac4-416f-baa5-f754be93263d","VDBF-I","1972-06-27","1972-09-22",t,"","2018-02-07 16:07:34.436084+00","2018-06-29 19:47:56.431291+00","1917c756-1769-4a13-9c0c-cbbf431bf225","","","",""
"196de2f6-6f29-41c6-95fd-16434f78debd","600003","1991-09-26","1991-09-26",t,"","2018-11-30 20:45:31.216015+00","2018-11-30 20:45:56.142347+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"aab9178e-d902-4f9f-8fd3-1bd7c5d21732","CGM-1939","1939-11-01","1939-11-28",t,"None
MISSING FIVE AND SIX

PHOTO INDEX","2018-02-07 16:08:22.966438+00","2018-02-07 16:08:22.966417+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
