"id","remarks","created","last_modified","collection_id"
"709c63fd-2a17-48c5-a116-74d3737a0a22","2 line indexes for Polk","2018-12-19 20:25:02.052721+00","2018-12-19 20:25:02.052741+00","9a8129f5-cc81-417e-aefb-897cb2a6f73f"
"ba16111f-e185-4a6c-877f-e8bf51f3f0e8","1 line index for Potter 1989.  Not present in photo room","2018-02-07 16:10:05.812101+00","2018-12-19 20:31:31.032813+00","d53a9272-6df3-4d09-9a9b-80be73723635"
"fc1c1e4a-fd27-4e34-8c15-efea99046f44","No line index for Midland Co.","2018-02-07 16:09:19.973958+00","2018-12-19 20:53:04.649663+00","c6b325b9-1e04-4941-91f8-e2f6849b5f0c"
"15a56bf4-c851-4a70-b2df-70f52654a280","","2018-02-07 16:08:23.091061+00","2018-02-07 16:08:23.091051+00","aab9178e-d902-4f9f-8fd3-1bd7c5d21732"
"6988e150-4716-4343-a8b3-b96a196d5b36","1 line index","2018-02-07 16:12:04.500627+00","2018-12-19 20:56:02.652785+00","c8a53be1-f017-4ebf-905c-44b442a81ab4"
"679c3823-ef95-48a2-b9e1-825324839fee","no line index","2018-12-19 21:10:35.542045+00","2018-12-19 21:10:35.542065+00","c6ef735e-69ab-4a9a-a042-eab5ce072918"
"99d1be4d-7b56-4e9f-9d75-f53091d5d498","No line index","2018-12-19 21:23:08.908296+00","2018-12-19 21:23:08.908317+00","afefa981-30ea-4bc1-a879-88a4a76bb583"
"dde55017-1e07-45a7-8980-cb4aa2a32d18","No line index","2018-12-19 21:44:21.872696+00","2018-12-19 21:44:21.872717+00","70ae3e7b-7b3d-4454-b929-bb68b33f82b5"
"1836851f-7617-4ae0-b2d0-b8250b85c076","1 line index for Llano Co.

No line index for San Jacinto Co.","2018-02-07 16:07:40.907689+00","2019-01-02 17:07:08.205532+00","df95bd6a-d8bd-4a54-b588-c64d16f2c32d"
"1cb17ef7-2634-4780-baf8-6ce4d85540c3","","2018-02-07 16:09:14.536778+00","2018-02-07 16:09:14.536765+00","4a5f325f-86a5-4a64-bea7-b1dba598ae00"
"77028b9f-f7aa-4b68-ab3f-f2d0f32e878b","","2018-02-07 16:09:17.970356+00","2018-02-07 16:09:17.970325+00","b18dcd1e-e025-418f-be76-ce0a325f942d"
"486840f5-e588-4f70-9149-01271fe14e6c","No line index","2018-12-20 13:28:10.317921+00","2018-12-20 13:28:10.317941+00","8dc6e78e-b3c3-4979-9ced-bdeb72d809d9"
"d0d05eeb-5980-4e55-83b6-9d3e0d5a0d6e","No line index","2018-02-07 16:12:28.153247+00","2018-12-20 14:32:17.175206+00","09182eb1-4539-43c4-9124-3816081b67a9"
"fa3ed1dc-d6f2-4d50-b71b-a9d32182ab20","1 line index for Victoria Co. 1987","2018-02-07 16:09:46.43625+00","2018-12-20 14:34:26.870726+00","c67e5a8d-7160-4872-9435-f207856d9326"
"1946cf8d-dc17-44f6-abe7-5ef2a5a84136","1 line index for Sam Rayburn Res

1 line index for Lake Murvaul

1 line index for Toledo Bend Res

no line index for Shelby Co","2018-02-07 16:09:00.372086+00","2018-12-20 15:08:20.392657+00","70f5680a-16ff-4859-ac07-a0a21a394688"
"39f7db22-3245-4774-ba66-0fcc6bccf9eb","","2018-02-07 16:09:58.767777+00","2018-02-07 16:09:58.76776+00","bcdc9893-184c-4937-9fbc-13c1fa9d3970"
"ba06f722-f5f8-4065-87e6-0de8a1335a93","no line index","2018-02-07 16:09:16.292745+00","2018-12-20 16:29:40.322555+00","9abf388f-f70b-4bb3-89eb-d04d1ba5ddc4"
"b2894cc8-9593-4965-9da4-2ff3af08486e","1 line index: Q:\Historic_Images\Austin\Index\TXDOT_1978_LI_1.tif","2018-02-07 16:10:26.803387+00","2019-01-07 20:34:35.238328+00","a170f7cc-281b-48fe-a9cd-32e0680021af"
"81b41b52-dded-40a4-96a2-b18de3a6d267","1 line index","2018-02-07 16:09:07.837535+00","2018-12-20 16:50:52.322371+00","fadee3fd-3a37-442d-8918-0c6db8b1622f"
"bff5ca7c-3c26-4cc5-b429-dddcf27ac5f5","1 line index","2018-02-07 16:12:12.904493+00","2018-12-21 22:18:15.080914+00","54126a0d-fee6-49d0-b213-3f56e953a90b"
"6cd570a4-e795-42da-8225-a68fb97006c6","1 line index","2018-02-07 16:10:59.642901+00","2018-12-20 17:07:32.686555+00","0c06ed1b-143f-41cf-9bb2-b9cec4e0f20d"
"1510ee42-4b62-41d8-bc02-5155b517e3c2","No line index for Travis Co.

1 line index for Williamson Co.","2018-02-07 16:09:20.54081+00","2019-01-02 14:15:48.575748+00","9189b060-315e-4d4e-888a-c4bc561a67b3"
"a85b28f4-57fe-46f3-b6e9-733aec8f206a","1 line index: Q:\Historic_Images\Bailey\Index\USDA_1941_LI_1.tif","2018-02-07 16:09:52.61318+00","2019-01-07 20:36:49.08446+00","2b572dae-3f98-446b-b192-462409b8566f"
"55abc136-c8dd-4009-ad3d-a3d78ecfc5bb","1 Bastrop line index:
Q:\Historic_Images\Bastrop\Index\TXDOT_2000_LI_1.tif","2018-02-07 16:09:49.441474+00","2019-01-07 20:50:57.364149+00","19dc984f-f7ad-4c9a-9e45-6e3f9cff2f4b"
"7ebfb6d5-4721-46e4-ac19-73280b4238be","","2018-02-07 16:11:10.043392+00","2018-02-07 16:11:10.043384+00","8906d585-1a6f-4627-b54b-294204f9dc8f"
"c910a668-092c-4500-af14-b95bf96e16df","2 line indexes for Williamson Co.","2018-02-07 16:10:00.676697+00","2019-01-15 15:22:55.487313+00","0eaa5b40-a375-43e9-a626-e75e0c8692f4"
"959e21b6-17b2-425c-9723-b1596e61844f","","2018-02-07 16:11:40.04788+00","2018-02-07 16:11:40.047863+00","f099e04d-6121-49a9-8cc3-c4c82724874a"
"07d2b781-a127-409e-8ffc-8cbf25b86867","","2018-02-07 16:11:45.431738+00","2018-02-07 16:11:45.43172+00","caa6101a-9471-42d6-a5b4-eb70e431c793"
"2dd3c6f6-f44a-44fa-92ad-ebccd7f423cb","","2018-02-07 16:12:07.04667+00","2018-02-07 16:12:07.046652+00","b1caac55-c091-4da7-a603-24f1262ab3e3"
"a59c8897-ecdf-4f9f-b02e-72f84566cf39","","2018-02-07 16:12:40.405528+00","2018-02-07 16:12:40.405519+00","cf00f1d5-fd24-4dc3-a7b9-0a3e8e4a6692"
"4fa41e91-5694-422c-ae4d-4e7511384272","","2018-02-07 16:13:04.36285+00","2018-02-07 16:13:04.362832+00","0c9b04b0-94a9-4251-956d-629eadadd164"
"2d626231-c895-480d-8c08-7a55f262c910","2 line indexes for Collin 1990","2018-02-07 16:07:37.699092+00","2018-04-07 14:43:02.850217+00","f8b5149d-fd85-4ed2-a3f6-3a924f9bc1d4"
"b7917a2c-2ef6-4c06-950e-114d071423b5","1 line index for Bexar 1992","2018-02-07 16:11:25.664477+00","2018-04-07 15:12:30.276043+00","531594f8-0cb1-442f-9f0d-839d20e617d4"
"9cc47770-9942-46fb-b91b-21540e314e79","1 line index for Williamson 1988","2018-02-07 16:09:48.389281+00","2018-04-07 16:29:23.39644+00","dd26beeb-c2b7-4917-a7b6-8711ecbb3553"
