"id","number_of_frames","scanned","scanned_location","physical_location","remarks","created","last_modified","collection_id"
"c5712e3b-65d3-4f32-936e-e817c6fb5dc3",4,4,"Q:\Historic_Images\Armstrong\Index","IN-01","Partial county coverage
All photo indexes scanned.","2018-02-07 16:21:32.724217+00","2018-08-17 19:26:15.200243+00","455bd0ba-d979-40a1-8ae9-edabeaf7cc74"
"0baf46ac-a305-4e0a-baca-9323cd28011d",4,4,"Q:\Historic_Images\Llano\Index","IN-23","All Indexes Scanned","2018-02-07 16:09:14.981815+00","2018-09-04 19:54:11.66256+00","be3d33c7-9c66-4675-aa0c-893d46c299d8"
"6db0df16-c3fc-4278-a8d0-43854e600286",4,4,"Q:\Historic_Images\Motley\Index","IN-27","All Indexes Scanned","2018-02-07 16:15:12.843712+00","2018-08-22 19:07:43.08851+00","0f747cd0-172d-4800-bbd3-b82db9d9e29a"
"7ec94d7d-0a98-4b79-be28-0fd6b9e690a4",1,0,"","FF124","PHOTO INDEX","2018-02-07 16:07:45.371364+00","2018-02-07 16:07:45.371356+00","4bc3ab28-c068-4331-be35-ae235da99cf4"
"1814524b-1eda-488c-89f8-ad442b43284d",4,4,"Q:\Historic_Images\Hansford\Index","IN-15","All Indexes Scanned","2018-02-07 16:10:03.71303+00","2018-08-17 20:18:00.854987+00","fde43fd1-add8-4b47-af4a-90ea2daef45c"
"642e9bdc-661d-45d8-8abd-6634e7b51baa",5,5,"Q:\Historic_Images\Goliad\Index","IN-14","All indexes scanned","2018-02-07 16:09:44.73726+00","2018-09-05 16:40:36.43093+00","5192c68c-6ecd-4fc6-a8de-0c7005ec8f79"
"ab2983db-0b4d-4291-8f33-8f5eebe72683",4,4,"Q:\Historic_Images\JimWells\Index","IN-20","All indexes scanned.","2018-02-07 16:23:37.383948+00","2018-09-06 15:47:51.83987+00","a7d1b2aa-d2c2-4375-84ae-11b76def0ad9"
"b71f6e92-9bde-4260-bc70-b7271a9b1519",1,0,"","IN-17","PHOTO INDEX","2018-02-07 16:08:23.091231+00","2018-02-07 16:08:23.091209+00","aab9178e-d902-4f9f-8fd3-1bd7c5d21732"
"14151512-134f-49f3-b84c-116bbb82a68c",4,4,"Q:\Historic_Images\Tarrant\Index","IN-34","All indexes scanned","2018-02-07 16:22:15.791778+00","2018-08-27 16:46:10.744548+00","d8dc6baf-6a2b-4422-8f39-256a7012bfab"
"81aaa99b-1f50-4899-a85b-02933395e3a2",5,5,"Q:\Historic_Images\VanZandt\Index","IN-35","All indexes scanned","2018-02-07 16:08:22.120868+00","2018-08-27 16:55:18.240734+00","c28695bc-b8d2-4f54-88ac-4505b9829607"
"2914658d-8d7c-4173-9a0f-4649a8ff07e8",6,6,"Q:\Historic_Images\Cherokee\Index","IN-06","All Indexes Scanned","2018-02-07 16:07:43.150551+00","2018-09-05 18:50:40.856006+00","24ea6d70-d18d-4b26-83ec-787ff73aa6cc"
"dc6139e5-f817-4195-8a05-1752844eb36c",6,6,"Q:\Historic_Images\Anderson\Index","IN-01","All indexes scanned","2018-02-07 16:10:41.3308+00","2018-09-05 20:04:42.307077+00","bb2df7a4-2db0-4b13-967e-c05d0763e41e"
"7539dec4-0d0e-4373-8bfe-13babbc9e298",2,0,"","IN-28","PHOTO INDEX","2018-02-07 16:09:13.681276+00","2018-02-07 16:09:13.681268+00","9a7d220f-3f58-436f-a7c2-17198af42665"
"31cc281a-3c4e-4bfe-81da-77eb03ffff9b",4,4,"Q:\Historic_Images\Hansford\Index","IN-15","All Indexes Scanned","2018-02-07 16:09:47.672676+00","2018-08-17 20:19:28.789765+00","eba1df7e-a7ab-48d9-8a38-82fa81bc58e0"
"cf5fd6ea-c154-4c37-ad9e-399454abddd1",4,4,"Q:\Historic_Images\Bailey\Index","IN-02","All indexes scanned","2018-02-07 16:09:52.613293+00","2018-09-06 13:42:46.063831+00","2b572dae-3f98-446b-b192-462409b8566f"
"455bf7df-30d5-404a-bbab-361bef32600c",1,1,"Q:\Historic_Images\Sherman\Index","IN-33","All Indexes Scanned","2018-02-07 16:08:53.649761+00","2018-08-23 18:43:31.253772+00","14280c43-9a48-4df8-a6a0-e3f54edef054"
"a1294901-858e-49fb-bbd3-bbb4d1aa0ece",3,3,"Q:\Historic_Images\Hays\Index","IN-17","all indexes scanned","2018-02-07 16:23:25.007453+00","2018-09-06 16:35:24.424505+00","1b0728e8-67b7-4ad1-b4da-1ea163699b45"
"5734490d-1595-423e-8012-819b77efcc35",1,0,"","IN-19","PHOTO INDEX","2018-02-07 16:09:24.496578+00","2018-02-07 16:09:24.496561+00","7f414be3-e0b9-4501-9911-f7ac479bbc93"
"9d827d6e-e152-4d04-8c2b-ed8eb345b89d",4,4,"Q:\Historic_Images\Sterling\Index","IN-33","All indexes scanned","2018-02-07 16:08:54.931498+00","2018-09-06 20:01:07.866329+00","bf16941f-fb08-4b71-9a19-3dea20d9e753"
"a5f7529d-4502-45ce-8b3c-3c6ad24392ef",4,4,"Q:\Historic_Images\Wheeler\Index","IN-37","All Indexes Scanned","2018-02-07 16:09:30.2911+00","2018-08-23 20:04:39.009811+00","d1309c13-cb1a-4c4f-b091-1ef9b9b5d6a2"
"2556554e-4cba-4196-8d94-e903f1cdc84d",6,6,"Q:\Historic_Images\Dimmit\Index","IN-10","All Indexes Scanned","2018-02-07 16:10:10.92048+00","2018-08-21 14:06:21.509741+00","ed853b3e-5f17-456c-b74e-8aa0bb19c9fd"
"f87e2316-a190-4ee2-811a-490d75b00281",6,6,"Q:\Historic_Images\DeWitt","IN-10","All Indexes Scanned","2018-02-07 16:07:45.047514+00","2018-08-21 14:08:07.179606+00","41c461d6-0a2c-4a62-a524-501a5ced1ef6"
"b567a318-ee23-4272-b33e-547b8265aa83",4,4,"Q:\Historic_Images\Burleson\Index","IN-05","All indexes scanned.","2018-02-07 16:10:27.327017+00","2018-08-28 20:17:44.926116+00","aece680a-0407-42a7-bc9c-0ad36329975b"
"8b4a9862-8103-426c-a998-2a348bdc2687",5,5,"Q:\Historic_Images\Jefferson\Index","IN-20","All indexes scanned","2018-02-07 16:09:32.51886+00","2018-09-11 20:34:50.919895+00","f81027de-49c9-4f54-b7e1-cc18a235a44f"
"805ceb6a-5f60-4c3f-8e6b-79b9ae722ffd",4,4,"Q:\Historic_Images\Haskell\Index","IN-16","All indexes scanned","2018-02-07 16:09:27.617621+00","2018-08-21 16:44:51.725997+00","ef629abc-f477-447a-a3a0-b0f457372c07"
"08cb035d-8a58-4d08-912f-39e5e6ce74ef",7,7,"Q:\Historic_Images\Freestone\Index","IN-13","All indexes scanned","2018-02-07 16:10:12.615847+00","2018-09-05 20:25:22.431492+00","d527afe4-54e0-4819-8483-3e87531f68be"
"1b91f2eb-7647-4e67-8e8a-53d94f618da9",7,7,"Q:\Historic_Images\Bexar\Index","IN-03","Georeferenced
All indexes scanned","2018-02-07 16:09:28.745685+00","2018-09-06 13:56:07.473498+00","a2e0f770-0f9d-4460-bc0b-2226b60a6aa3"
"9f729046-358e-41b5-97df-fd1eb072fe32",26,26,"Q:\Historic_Images\Brown\Index","IN-05","All indexes scanned","2018-02-07 16:10:10.597024+00","2018-09-06 14:09:05.821237+00","3aee3872-d634-4e35-8ff4-31e7f9d08b6c"
"b302c405-fe97-4fe7-af6c-685a574ab6b3",5,5,"Q:\Historic_Images\Burleson\Index","IN-05","All indexes scanned.","2018-02-07 16:10:09.988083+00","2018-08-28 20:18:32.572222+00","660df63e-3568-4a9d-b826-a1a173e76c4a"
"3c7ae3d5-3ea8-4a0b-a3e9-68f3d81dfb24",5,5,"Q:\Historic_Images\SanPatricio\Index","IN-32","All indexes scanned","2018-02-07 16:07:42.658006+00","2018-08-29 14:24:14.847401+00","4ecf98ba-eb0f-4ec1-8697-699e59ba193b"
"6915219f-027c-452d-bb55-38964a4704d1",1,1,"Q:\Historic_Images\Callahan\Index","IN-05","All indexes scanned","2018-02-07 16:09:19.40551+00","2018-09-06 14:14:58.922713+00","4a8d1dca-b67b-4f6c-b470-d909e6cb553f"
"f13a06d6-5f95-4176-874c-86192d1b1d98",6,6,"Q:\Historic_Images\Smith\Index","IN-33","All indexes scanned","2018-07-20 16:07:03.277176+00","2018-09-06 14:40:08.606299+00","d31313f6-8b8b-4131-8758-fdceca064edd"
"33bb9722-99cd-47ab-8b48-4381a3ae2602",4,4,"Q:\Historic_Images\Jack\Index","IN-19","All photo indexes scanned.","2018-02-07 16:10:12.128247+00","2018-08-29 21:39:51.667632+00","0e0adb1c-1def-493d-8a53-04ce04e40350"
"5d83ffdd-17b0-4ad9-9164-84e75df96396",4,4,"Q:\Historic_Images\Ector\Index","IN-11","All Indexes Scanned","2018-02-07 16:08:55.373953+00","2018-09-04 18:26:58.600213+00","ce14d109-0465-46b6-bb04-2cacdc102b69"
"8ab58485-3d42-4b56-bbf8-5ba5c5a5836e",7,7,"Q:\Historic_Images\Colorado\Index","IN-07","All indexes scanned","2018-02-07 16:09:52.00769+00","2018-09-06 15:00:39.87552+00","6a0bf738-808c-4416-a0c4-edbe882243e5"
"a69b9875-1dcf-4c52-8d86-47ad62bc0a5b",4,4,"Q:\Historic_Images\Knox\Index","IN-21","All indexes scanned.","2018-02-07 16:09:42.921951+00","2018-09-04 18:31:09.818916+00","2a3d35e9-ceb5-49f7-ba98-29dd0b763b95"
"ca6c8660-84ca-4d37-b6a1-75cdb95a24e9",6,6,"Q:\Historic_Images\Gillespie\Index","IN-13","All Indexes Scanned","2018-02-07 16:10:30.012359+00","2018-09-04 18:31:24.37373+00","c747e5bb-c489-4b54-af1b-7d4dd10e7440"
"cf1ca819-1a01-401b-bba8-d6348032cf24",5,5,"Q:\Historic_Images\FortBend\Index","IN-12","All indexes scanned","2018-02-07 16:09:43.648035+00","2018-09-06 15:02:27.333366+00","7be98dc6-c836-4a6e-93c0-565b943728be"
