"id","coverage","number_of_frames","scanned","medium","print_type","physical_location","remarks","created","last_modified","collection_id","frame_size_id","scale_id"
"648366d2-83d8-4834-898f-1d123ffe8676","Full",150,0,"Print","B&W","Ellis","Part of DFW TXDOT mission","2018-02-07 16:07:37.699226+00","2018-04-07 14:46:42.084244+00","f8b5149d-fd85-4ed2-a3f6-3a924f9bc1d4","13913c8f-47de-4aff-91a7-fa8fdfa28bbe","10493d78-14cb-411e-8e7d-9ec2c6488ff3"
"b0dc5f9d-1f5c-48ed-9671-18d75160378b","Full",250,0,"Print","B&W","Dallas","Part of the DFW TXDOT mission","2018-02-07 16:07:37.699226+00","2018-04-07 14:59:58.886894+00","f8b5149d-fd85-4ed2-a3f6-3a924f9bc1d4","13913c8f-47de-4aff-91a7-fa8fdfa28bbe","10493d78-14cb-411e-8e7d-9ec2c6488ff3"
"d8567ab4-e339-498d-9e40-325c30e902a5","Partial",150,0,"Print","B&W","Travis","Alternate frames  Contains portions of rolls 6-21.","2018-02-07 16:08:17.216744+00","2018-04-07 16:15:16.388738+00","82bf0615-17ef-4579-a815-7236e859f83f","13913c8f-47de-4aff-91a7-fa8fdfa28bbe","10493d78-14cb-411e-8e7d-9ec2c6488ff3"
"a188d300-9c64-422a-9f45-c1d9aa040717","Partial",1,0,"Print","B&W","Parker","Reservoir
Collection listed by FIPS 48367","2018-04-07 17:54:38.77848+00","2018-04-07 17:54:38.7785+00","59bab0f2-915a-4c85-b890-bad6c85dd659","d33fbbee-fad3-48d2-9f85-a7f826409e79","2b35500b-f5e8-4a7f-926f-031b30adb637"
"fca2ee60-91e3-4117-b2fc-697f462feb9d","Partial",0,0,"Print","B&W","A-1-1","hand written numbers","2018-11-13 15:26:57.654376+00","2018-11-13 15:46:54.925883+00","0bc64bd5-2e45-44a5-9fd6-620341f1bd8d","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"3a3bec37-6b11-4b93-ae21-96040fbe5252","Partial",120,0,"Print","B&W","Zapata","","2018-04-07 22:44:54.513555+00","2018-04-07 22:44:54.513575+00","4b5777d2-a03c-41e0-b3b5-bc9676570215","d5fd4ac4-af62-4cf6-bdad-b47d0e82d1d2","2b35500b-f5e8-4a7f-926f-031b30adb637"
"4262dff6-9947-4b83-9ba8-a9d8998cb299","Partial",0,0,"Print","B&W","A-2-1","","2018-11-13 17:01:22.843572+00","2018-11-13 17:01:22.843591+00","18a08565-8cdc-4925-910d-c33491958099","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"ab27a048-d41c-4b61-bfe8-5f43ac440843","Partial",0,0,"Print","B&W","A-4-2","Frames 1-1 -- 1-14","2018-11-13 21:49:20.482937+00","2018-11-13 21:49:20.482958+00","26cca8c8-5968-4faa-8e40-6fd26a3586d7","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"1df9de39-a524-41f0-8c5c-5fa632af5b47","Partial",0,0,"Print","B&W","B-1-2","ASCS collection, county identified with FIPS code 48083","2018-11-14 17:08:21.107394+00","2018-11-14 17:08:21.107414+00","c4ffe54d-bd12-4d83-89c3-c432b3142f90","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"fb6673cb-80e1-4949-a47d-5b93212c2922","Partial",0,0,"Print","B&W","B-4-3","Grayson Co.","2018-11-16 19:46:23.158792+00","2018-11-16 19:46:23.158812+00","95888f86-03ab-45d2-943c-dea820dced2f","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"a383a4af-5024-4885-aaba-b9c6a7946f08","Partial",0,0,"Print","B&W","C-1-5","","2018-11-19 17:29:58.248766+00","2018-11-19 17:29:58.248786+00","1ca43106-8b45-4e56-8544-0c6e380c3c31","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
