'id','coverage','number_of_frames','scanned','medium','print_type','physical_location','remarks','created','last_modified','collection_id','frame_size_id','scale_id'
'648366d2-83d8-4834-898f-1d123ffe8676','Full',150,0,'Print','B&W','Ellis','Part of DFW TXDOT mission','2018-02-07 16:07:37.699226+00','2018-04-07 14:46:42.084244+00','f8b5149d-fd85-4ed2-a3f6-3a924f9bc1d4','13913c8f-47de-4aff-91a7-fa8fdfa28bbe','10493d78-14cb-411e-8e7d-9ec2c6488ff3'
'93b7fad8-2726-47cf-9741-1ec5a789910e','Full',1337,0,'Print','B&W','FC25E','','2018-02-07 16:07:37.699226+00','2018-02-07 16:07:37.699221+00','f8b5149d-fd85-4ed2-a3f6-3a924f9bc1d4','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'b0dc5f9d-1f5c-48ed-9671-18d75160378b','Full',250,0,'Print','B&W','Dallas','Part of the DFW TXDOT mission','2018-02-07 16:07:37.699226+00','2018-04-07 14:59:58.886894+00','f8b5149d-fd85-4ed2-a3f6-3a924f9bc1d4','13913c8f-47de-4aff-91a7-fa8fdfa28bbe','10493d78-14cb-411e-8e7d-9ec2c6488ff3'
'd8567ab4-e339-498d-9e40-325c30e902a5','Partial',150,0,'Print','B&W','Travis','Alternate frames  Contains portions of rolls 6-21.','2018-02-07 16:08:17.216744+00','2018-04-07 16:15:16.388738+00','82bf0615-17ef-4579-a815-7236e859f83f','13913c8f-47de-4aff-91a7-fa8fdfa28bbe','10493d78-14cb-411e-8e7d-9ec2c6488ff3'
'a188d300-9c64-422a-9f45-c1d9aa040717','Partial',1,0,'Print','B&W','Parker','Reservoir
Collection listed by FIPS 48367','2018-04-07 17:54:38.77848+00','2018-04-07 17:54:38.7785+00','59bab0f2-915a-4c85-b890-bad6c85dd659','d33fbbee-fad3-48d2-9f85-a7f826409e79','2b35500b-f5e8-4a7f-926f-031b30adb637'
'd6915840-dbee-4a0e-8ac6-70e0726b9082','Full',321,0,'Print','B&W','FC27G','','2018-02-07 16:07:40.907815+00','2018-02-07 16:07:40.907809+00','df95bd6a-d8bd-4a54-b588-c64d16f2c32d','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'3a3bec37-6b11-4b93-ae21-96040fbe5252','Partial',120,0,'Print','B&W','Zapata','','2018-04-07 22:44:54.513555+00','2018-04-07 22:44:54.513575+00','4b5777d2-a03c-41e0-b3b5-bc9676570215','d5fd4ac4-af62-4cf6-bdad-b47d0e82d1d2','2b35500b-f5e8-4a7f-926f-031b30adb637'
'52111ba5-6e66-4e3e-accb-116ce473fd15','Partial',11,0,'Print','B&W','Photo Room - Hudspeth','Southern Hueco Mountains','2018-06-11 20:29:17.579026+00','2018-06-11 20:29:17.579051+00','b340d797-72d6-4817-b25c-38d138b3f93c','a3b9aa31-af6d-4052-8f73-552545a13e09','5da5dafc-e3df-464f-83db-746dcb0f7de7'
'dc5c9cc1-3f85-49dd-b19f-0b5163c2823c','Full',750,0,'Print','B&W','FC02F','','2018-02-07 16:07:43.349566+00','2018-02-07 16:07:43.349549+00','24ea6d70-d18d-4b26-83ec-787ff73aa6cc','a3b9aa31-af6d-4052-8f73-552545a13e09','c2170bce-6c8d-4ff7-a1de-b2736fbb77c0'
'221cd2af-4f95-43f6-9245-3f831bdc1d94','Full',359,0,'Print','B&W','FC06D','','2018-02-07 16:07:43.915647+00','2018-02-07 16:07:43.915642+00','a38808f6-3959-4098-9257-9328623f5fd4','a3b9aa31-af6d-4052-8f73-552545a13e09','c2170bce-6c8d-4ff7-a1de-b2736fbb77c0'
'435a95bf-2c9d-43d8-a21a-aab926fcfc94','Full',376,0,'Print','B&W','FC42D','','2018-02-07 16:07:45.531291+00','2018-02-07 16:07:45.531274+00','4bc3ab28-c068-4331-be35-ae235da99cf4','a3b9aa31-af6d-4052-8f73-552545a13e09','2b35500b-f5e8-4a7f-926f-031b30adb637'
'b0ae06f2-7104-4ff9-b0d8-0c27e51c5aa5','Full',38,0,'Print','B&W','FC38C','','2018-02-07 16:07:53.603395+00','2018-02-07 16:07:53.603389+00','b2d114b8-0a05-4086-9b37-b1d6a406a1ef','a3b9aa31-af6d-4052-8f73-552545a13e09','374590c8-9283-49fc-b8fb-85ccd069e31f'
'ce396bb1-d0e2-40f5-b9a8-7100ccdb86fa','Full',1,0,'Print','B&W','FC39F','','2018-02-07 16:07:53.603395+00','2018-02-07 16:07:53.603389+00','b2d114b8-0a05-4086-9b37-b1d6a406a1ef','a3b9aa31-af6d-4052-8f73-552545a13e09','3817b188-a25a-44ee-b667-c36916463d87'
'886050fb-0a5b-48c0-b7c5-2a4cfd65110b','Full',7,0,'Print','B&W','FC05E','','2018-02-07 16:07:53.603395+00','2018-02-07 16:07:53.603389+00','b2d114b8-0a05-4086-9b37-b1d6a406a1ef','a3b9aa31-af6d-4052-8f73-552545a13e09','3817b188-a25a-44ee-b667-c36916463d87'
'11ba3d80-de5e-4658-972e-c03948485072','Full',7,0,'Print','B&W','FC44D','','2018-02-07 16:07:53.603395+00','2018-02-07 16:07:53.603389+00','b2d114b8-0a05-4086-9b37-b1d6a406a1ef','a3b9aa31-af6d-4052-8f73-552545a13e09','3817b188-a25a-44ee-b667-c36916463d87'
'51960287-67b8-4d71-8d22-2f899e88673a','Full',15,0,'Print','B&W','FC05D','','2018-02-07 16:07:53.603395+00','2018-02-07 16:07:53.603389+00','b2d114b8-0a05-4086-9b37-b1d6a406a1ef','a3b9aa31-af6d-4052-8f73-552545a13e09','3817b188-a25a-44ee-b667-c36916463d87'
'bd3e201c-1dfe-436f-a95d-101c33ad32fa','Full',35,0,'Print','B&W','FC03F','','2018-02-07 16:07:53.603395+00','2018-02-07 16:07:53.603389+00','b2d114b8-0a05-4086-9b37-b1d6a406a1ef','a3b9aa31-af6d-4052-8f73-552545a13e09','3817b188-a25a-44ee-b667-c36916463d87'
'19ff378f-2d72-4cce-9745-9ec7acb86110','Full',36,0,'Print','B&W','FC01E','','2018-02-07 16:07:53.603395+00','2018-02-07 16:07:53.603389+00','b2d114b8-0a05-4086-9b37-b1d6a406a1ef','a3b9aa31-af6d-4052-8f73-552545a13e09','3817b188-a25a-44ee-b667-c36916463d87'
'f17a4e51-a9b9-47af-beac-ec3508a2edcf','Full',36,0,'Print','B&W','FC42E','','2018-02-07 16:07:53.603395+00','2018-02-07 16:07:53.603389+00','b2d114b8-0a05-4086-9b37-b1d6a406a1ef','a3b9aa31-af6d-4052-8f73-552545a13e09','3817b188-a25a-44ee-b667-c36916463d87'
